PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
44,1.174,150,6,160,2,1.5
44,1.175,150,6,160,2,1.5
44,1.176,150,6,160,2,1.5
44,1.177,150,6,160,2,1.5
44,1.178,150,6,160,2,1.5
44,1.179,150,6,160,2,1.5
44,1.18,150,6,160,2,1.5
44,1.181,150,6,160,2,1.5
44,1.182,150,6,160,2,1.5
44,1.183,150,6,160,2,1.5
44,1.184,150,6,160,2,1.5
44,1.185,150,6,160,2,1.5
44,1.186,150,6,160,2,1.5
44,1.187,150,6,160,2,1.5
44,1.188,150,6,160,2,1.5
44,1.189,150,6,160,2,1.5
44,1.19,150,6,160,2,1.5
44,1.191,150,6,160,2,1.5
44,1.192,150,6,160,2,1.5
44,1.193,150,6,160,2,1.5
44,1.194,150,6,160,2,1.5
44,1.195,150,6,160,2,1.5
44,1.196,150,6,160,2,1.5
44,1.197,150,6,160,2,1.5
44,1.198,150,6,160,2,1.5
44,1.199,150,6,160,2,1.5
44,1.2,150,6,160,2,1.5
44,1.201,150,6,160,2,1.5
44,1.202,150,6,160,2,1.5
44,1.203,150,6,160,2,1.5
44,1.204,150,6,160,2,1.5
44,1.205,150,6,160,2,1.5
44,1.206,150,6,160,2,1.5
44,1.207,150,6,160,2,1.5
44,1.208,150,6,160,2,1.5
44,1.209,150,6,160,2,1.5
44,1.21,150,6,160,2,1.5
44,1.211,150,6,160,2,1.5
44,1.212,150,6,160,2,1.5
44,1.213,150,6,160,2,1.5
44,1.214,150,6,160,2,1.5
44,1.215,150,6,160,2,1.5
44,1.216,150,6,160,2,1.5
44,1.217,150,6,160,2,1.5
44,1.218,150,6,160,2,1.5
44,1.219,150,6,160,2,1.5
44,1.22,150,6,160,2,1.5
44,1.221,150,6,160,2,1.5
44,1.222,150,6,160,2,1.5
44,1.223,150,6,160,2,1.5
44,1.224,150,6,160,2,1.5
44,1.225,150,6,160,2,1.5
44,1.226,150,6,160,2,1.5
44,1.227,150,6,160,2,1.5
44,1.228,150,6,160,2,1.5
44,1.229,150,6,160,2,1.5
44,1.23,150,6,160,2,1.5
44,1.231,150,6,160,2,1.5
44,1.232,150,6,160,2,1.5
44,1.233,150,6,160,2,1.5
44,1.234,150,6,160,2,1.5
44,1.235,150,6,160,2,1.5
