Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.5335,1,2.4,40,35,20
107.698,2,2.4,40,35,20
127.464,3,2.4,40,35,20
125.157,4,2.4,40,35,20
112.086,5,2.4,40,35,20
168.328,6,2.4,40,35,20
204.082,7,2.4,40,35,20
279.532,8,2.4,40,35,20
272.736,9,2.4,40,35,20
308.156,10,2.4,40,35,20
374.939,11,2.4,40,35,20
258.371,12,2.4,40,35,20
431.645,13,2.4,40,35,20
281.196,14,2.4,40,35,20
326.672,15,2.4,40,35,20
350.209,16,2.4,40,35,20
273.807,17,2.4,40,35,20
387.484,18,2.4,40,35,20
409.257,19,2.4,40,35,20
345.155,20,2.4,40,35,20
743.798,21,2.4,40,35,20
431.688,22,2.4,40,35,20
286.095,23,2.4,40,35,20
468.957,24,2.4,40,35,20
342.931,25,2.4,40,35,20
710.951,26,2.4,40,35,20
472.48,27,2.4,40,35,20
583.882,28,2.4,40,35,20
473.014,29,2.4,40,35,20
486.829,30,2.4,40,35,20
720.482,31,2.4,40,35,20
534.416,32,2.4,40,35,20
972.574,33,2.4,40,35,20
609.969,34,2.4,40,35,20
894.984,35,2.4,40,35,20
656.631,36,2.4,40,35,20
603.701,37,2.4,40,35,20
716.447,38,2.4,40,35,20
824.271,39,2.4,40,35,20
739.955,40,2.4,40,35,20
699.362,41,2.4,40,35,20
575.904,42,2.4,40,35,20
979.665,43,2.4,40,35,20
900.968,44,2.4,40,35,20
918.858,45,2.4,40,35,20
785.487,46,2.4,40,35,20
935.128,47,2.4,40,35,20
1016.01,48,2.4,40,35,20
672.707,49,2.4,40,35,20
781.292,50,2.4,40,35,20
832.528,51,2.4,40,35,20
805.135,52,2.4,40,35,20
750.522,53,2.4,40,35,20
755.353,54,2.4,40,35,20
1029.13,55,2.4,40,35,20
835.951,56,2.4,40,35,20
744.282,57,2.4,40,35,20
989.327,58,2.4,40,35,20
940.596,59,2.4,40,35,20
1132.19,60,2.4,40,35,20
163.781,1,5,160,35,20
87.6416,2,5,160,35,20
70.908,3,5,160,35,20
34.1173,4,5,160,35,20
60.7531,5,5,160,35,20
57.3718,6,5,160,35,20
37.1754,7,5,160,35,20
80.4849,8,5,160,35,20
99.9283,9,5,160,35,20
104.464,10,5,160,35,20
104.685,11,5,160,35,20
91.8149,12,5,160,35,20
172.633,13,5,160,35,20
69.2713,14,5,160,35,20
141.426,15,5,160,35,20
100.079,16,5,160,35,20
132.306,17,5,160,35,20
140.555,18,5,160,35,20
114.028,19,5,160,35,20
142.146,20,5,160,35,20
188.724,21,5,160,35,20
156.468,22,5,160,35,20
127.352,23,5,160,35,20
207.03,24,5,160,35,20
132.425,25,5,160,35,20
189.682,26,5,160,35,20
204.403,27,5,160,35,20
254.663,28,5,160,35,20
259.176,29,5,160,35,20
183.777,30,5,160,35,20
263.545,31,5,160,35,20
261.654,32,5,160,35,20
376.371,33,5,160,35,20
220.252,34,5,160,35,20
272.211,35,5,160,35,20
274.986,36,5,160,35,20
263.9,37,5,160,35,20
255.7,38,5,160,35,20
344.629,39,5,160,35,20
271.25,40,5,160,35,20
275.971,41,5,160,35,20
344.041,42,5,160,35,20
355.459,43,5,160,35,20
339.386,44,5,160,35,20
