Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.575,1,2.4,40,46,20
153.108,5,2.4,40,46,20
220.324,10,2.4,40,46,20
320.352,15,2.4,40,46,20
354.335,20,2.4,40,46,20
603.123,25,2.4,40,46,20
425.696,30,2.4,40,46,20
676.676,35,2.4,40,46,20
754.229,40,2.4,40,46,20
909.538,45,2.4,40,46,20
601.306,50,2.4,40,46,20
968.767,55,2.4,40,46,20
1149.37,60,2.4,40,46,20
44.7386,1,5.0,160,46,20
50.7813,5,5.0,160,46,20
139.01,10,5.0,160,46,20
103.0,15,5.0,160,46,20
141.101,20,5.0,160,46,20
236.32,25,5.0,160,46,20
186.795,30,5.0,160,46,20
358.874,35,5.0,160,46,20
294.708,40,5.0,160,46,20
