QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,5,160,1,60
0,0,103344,15180,1,150,5,160,1,60
806845,30,385436,188887,2,150,5,160,1,60
1860877,28,617404,334727,3,150,5,160,1,60
2914572,46,819849,487971,4,150,5,160,1,60
3968215,35,1033876,643993,5,150,5,160,1,60
5021161,36,1236764,812627,6,150,5,160,1,60
6074017,33,1410920,972139,7,150,5,160,1,60
7126680,34,1599726,1160087,8,150,5,160,1,60
8179041,36,1830547,1389996,9,150,5,160,1,60
9231165,32,2075317,1634766,10,150,5,160,1,60
10283071,50,2333309,1892758,11,150,5,160,1,60
11335012,36,2572705,2132154,12,150,5,160,1,60
12386751,34,2845317,2404766,13,150,5,160,1,60
13438472,55,3113255,2672704,14,150,5,160,1,60
14490303,38,3378018,2937467,15,150,5,160,1,60
15542026,56,3655066,3214515,16,150,5,160,1,60
16593881,36,3918742,3478191,17,150,5,160,1,60
17645648,36,4178198,3737647,18,150,5,160,1,60
18697386,55,4445348,4004797,19,150,5,160,1,60
19749155,34,4720566,4280015,20,150,5,160,1,60
20800876,36,5001587,4561036,21,150,5,160,1,60
21852548,46,5282880,4842329,22,150,5,160,1,60
22904004,56,5572728,5132177,23,150,5,160,1,60
23954777,56,5907008,5466457,24,150,5,160,1,60
25005513,36,6249360,5808809,25,150,5,160,1,60
26056248,41,6594447,6153896,26,150,5,160,1,60
27106709,35,6980381,6539830,27,150,5,160,1,60
28157120,56,7364570,6924019,28,150,5,160,1,60
29207592,49,7745146,7304595,29,150,5,160,1,60
30258036,30,8124989,7684438,30,150,5,160,1,60
31308551,47,8515089,8074538,31,150,5,160,1,60
32359052,35,8889179,8448628,32,150,5,160,1,60
33409466,41,9274970,8834419,33,150,5,160,1,60
34459815,51,9658483,9217932,34,150,5,160,1,60
35510234,47,10039746,9599195,35,150,5,160,1,60
36560696,56,10437225,9996674,36,150,5,160,1,60
37611170,2,10833551,10393000,37,150,5,160,1,60
38661561,40,11220797,10780246,38,150,5,160,1,60
39711921,31,11605484,11164933,39,150,5,160,1,60
40762112,33,12001258,11560707,40,150,5,160,1,60
41812202,40,12393973,11953422,41,150,5,160,1,60
42862315,56,12807216,12366665,42,150,5,160,1,60
43912319,56,13227236,12786685,43,150,5,160,1,60
44962351,56,13637721,13197170,44,150,5,160,1,60
46012369,49,14066899,13626348,45,150,5,160,1,60
47062390,34,14483056,14042505,46,150,5,160,1,60
48112421,47,14899150,14458599,47,150,5,160,1,60
49162470,40,15314203,14873652,48,150,5,160,1,60
50212507,42,15740775,15300224,49,150,5,160,1,60
51262463,31,16144518,15703967,50,150,5,160,1,60
52312535,32,16565028,16124477,51,150,5,160,1,60
53362526,40,16988279,16547728,52,150,5,160,1,60
54412502,56,17383734,16943183,53,150,5,160,1,60
55462505,57,17799062,17358511,54,150,5,160,1,60
56512466,56,18210640,17770089,55,150,5,160,1,60
57562440,49,18628432,18187881,56,150,5,160,1,60
58612254,49,19043698,18603147,57,150,5,160,1,60
59661927,56,19460285,19019734,58,150,5,160,1,60
60711191,35,19924919,19484368,59,150,5,160,1,60
61760586,56,20364134,19923583,60,150,5,160,1,60
