QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,5,160,10,60
0,0,95767,16205,1,150,5,160,10,60
595382,41,539734,358663,2,150,5,160,10,60
1297829,36,777665,515580,3,150,5,160,10,60
2000421,28,955175,653838,4,150,5,160,10,60
2800161,35,1144597,800769,5,150,5,160,10,60
3677794,46,1317619,956655,6,150,5,160,10,60
4555388,37,1489449,1126217,7,150,5,160,10,60
5432610,38,1704782,1341323,8,150,5,160,10,60
6309690,30,1929805,1566346,9,150,5,160,10,60
7186661,41,2177210,1813751,10,150,5,160,10,60
8063229,35,2440999,2077540,11,150,5,160,10,60
8937505,37,2945871,2582412,12,150,5,160,10,60
9810113,56,3626438,3262979,13,150,5,160,10,60
10682489,56,4338085,3974626,14,150,5,160,10,60
11554818,46,5056834,4693375,15,150,5,160,10,60
12426954,56,5793277,5429818,16,150,5,160,10,60
13298992,56,6534684,6171225,17,150,5,160,10,60
14170511,34,7372531,7009072,18,150,5,160,10,60
15041107,56,8349196,7985737,19,150,5,160,10,60
15911332,34,9413643,9050184,20,150,5,160,10,60
16778603,56,10859112,10495653,21,150,5,160,10,60
17644327,2,12492937,12129478,22,150,5,160,10,60
18509516,56,14185042,13821583,23,150,5,160,10,60
19374361,12,15932468,15569009,24,150,5,160,10,60
20238944,47,17692594,17329135,25,150,5,160,10,60
21103667,56,19445974,19082515,26,150,5,160,10,60
21968259,47,21219604,20856145,27,150,5,160,10,60
22832603,2,23043369,22679910,28,150,5,160,10,60
23696410,47,24978456,24614997,29,150,5,160,10,60
24560080,56,26936354,26572895,30,150,5,160,10,60
25423866,56,28877820,28514361,31,150,5,160,10,60
26287472,12,30842036,30478577,32,150,5,160,10,60
27151082,56,32806928,32443469,33,150,5,160,10,60
28014698,47,34777929,34414470,34,150,5,160,10,60
28878376,56,36733052,36369593,35,150,5,160,10,60
29742077,47,38690998,38327539,36,150,5,160,10,60
30604947,56,40745931,40382472,37,150,5,160,10,60
31466951,56,42912272,42548813,38,150,5,160,10,60
32328467,2,45136066,44772607,39,150,5,160,10,60
33189801,56,47389156,47025697,40,150,5,160,10,60
34050875,56,49666003,49302544,41,150,5,160,10,60
34911849,56,51965760,51602301,42,150,5,160,10,60
35772863,56,54258317,53894858,43,150,5,160,10,60
36633833,56,56558074,56194615,44,150,5,160,10,60
37494901,56,58845585,58482126,45,150,5,160,10,60
38355393,56,61204972,60841513,46,150,5,160,10,60
39215523,56,63605312,63241853,47,150,5,160,10,60
40075362,2,66052297,65688838,48,150,5,160,10,60
40935108,56,68482260,68118801,49,150,5,160,10,60
41794537,2,70981013,70617554,50,150,5,160,10,60
42654026,56,73443632,73080173,51,150,5,160,10,60
43513471,2,75928390,75564931,52,150,5,160,10,60
44373069,56,78383796,78020337,53,150,5,160,10,60
45232513,56,80854691,80491232,54,150,5,160,10,60
46092092,56,83315488,82952029,55,150,5,160,10,60
46951467,56,85800236,85436777,56,150,5,160,10,60
47810889,51,88281078,87917619,57,150,5,160,10,60
48670374,51,90752292,90388833,58,150,5,160,10,60
49530054,56,93190808,92827349,59,150,5,160,10,60
50389475,56,95668149,95304690,60,150,5,160,10,60
