Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
1147.02,60,2.4,40,48,20
903.661,65,2.4,40,48,20
1146.45,70,2.4,40,48,20
1361.7,75,2.4,40,48,20
1397.88,80,2.4,40,48,20
1500.85,85,2.4,40,48,20
1163.44,90,2.4,40,48,20
2110.53,95,2.4,40,48,20
2292.2,100,2.4,40,48,20
1966.18,105,2.4,40,48,20
2146.64,110,2.4,40,48,20
1706.66,115,2.4,40,48,20
2822.45,120,2.4,40,48,20
2067.95,125,2.4,40,48,20
1855.99,130,2.4,40,48,20
1864.41,135,2.4,40,48,20
2998.71,140,2.4,40,48,20
418.258,45,5,160,48,20
442.746,50,5,160,48,20
453.44,55,5,160,48,20
613.704,60,5,160,48,20
481.869,65,5,160,48,20
578.386,70,5,160,48,20
749.838,75,5,160,48,20
707.845,80,5,160,48,20
633.349,85,5,160,48,20
630.08,90,5,160,48,20
819.475,95,5,160,48,20
815.981,100,5,160,48,20
903.592,105,5,160,48,20
1242.34,110,5,160,48,20
824.161,115,5,160,48,20
1004.65,120,5,160,48,20
975.223,125,5,160,48,20
1070.69,130,5,160,48,20
1034.15,135,5,160,48,20
1095.39,140,5,160,48,20
0,1,6,160,48,20
108.181,5,6,160,48,20
298.538,10,6,160,48,20
108.93,15,6,160,48,20
139.213,20,6,160,48,20
151.736,25,6,160,48,20
186.491,30,6,160,48,20
320.04,35,6,160,48,20
407.561,40,6,160,48,20
368.443,45,6,160,48,20
327.189,50,6,160,48,20
346.931,55,6,160,48,20
495.597,60,6,160,48,20
368.095,65,6,160,48,20
441.754,70,6,160,48,20
