Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
282.655,1,6,160,4,20
465.414,5,6,160,4,20
660.847,10,6,160,4,20
734.074,15,6,160,4,20
1617.35,20,6,160,4,20
1357.19,25,6,160,4,20
1166.09,30,6,160,4,20
2272.8,35,6,160,4,20
2307.95,40,6,160,4,20
2057.23,45,6,160,4,20
3119.07,50,6,160,4,20
3641.16,55,6,160,4,20
2989.1,60,6,160,4,20
2705.59,65,6,160,4,20
3425.84,70,6,160,4,20
2709.44,75,6,160,4,20
3618.44,80,6,160,4,20
3471.82,85,6,160,4,20
3521.62,90,6,160,4,20
4591.01,95,6,160,4,20
4628.83,100,6,160,4,20
4786.26,105,6,160,4,20
5095.27,110,6,160,4,20
4941.08,115,6,160,4,20
4823.72,120,6,160,4,20
5235.96,125,6,160,4,20
5376.78,130,6,160,4,20
