Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
282.69,1,5,160,10,20
652.663,5,5,160,10,20
685.892,10,5,160,10,20
760.898,15,5,160,10,20
1568.52,20,5,160,10,20
1747.94,25,5,160,10,20
1852.97,30,5,160,10,20
2294.43,35,5,160,10,20
2146.38,40,5,160,10,20
2521.95,45,5,160,10,20
3240.94,50,5,160,10,20
4161.39,55,5,160,10,20
3149.58,60,5,160,10,20
3620.47,65,5,160,10,20
3240.85,70,5,160,10,20
3370.93,75,5,160,10,20
4272.76,80,5,160,10,20
3971.7,85,5,160,10,20
3722.79,90,5,160,10,20
4596.32,95,5,160,10,20
4373.11,100,5,160,10,20
6104.96,105,5,160,10,20
5588.96,110,5,160,10,20
5313.19,115,5,160,10,20
5901.67,120,5,160,10,20
6181.92,125,5,160,10,20
6476.43,130,5,160,10,20
