Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
1013.11,60,2.4,40,45,20
1079.88,65,2.4,40,45,20
1254.07,70,2.4,40,45,20
1781.7,75,2.4,40,45,20
1427.16,80,2.4,40,45,20
1617.06,85,2.4,40,45,20
1368.4,90,2.4,40,45,20
1584.95,95,2.4,40,45,20
1963.5,100,2.4,40,45,20
2792.57,105,2.4,40,45,20
2135.39,110,2.4,40,45,20
1621.29,115,2.4,40,45,20
2637.39,120,2.4,40,45,20
2297.69,125,2.4,40,45,20
1956.19,130,2.4,40,45,20
2166.7,135,2.4,40,45,20
1959.9,140,2.4,40,45,20
393.355,45,5,160,45,20
379.999,50,5,160,45,20
314.031,55,5,160,45,20
497.583,60,5,160,45,20
547.801,65,5,160,45,20
690.981,70,5,160,45,20
661.184,75,5,160,45,20
825.121,80,5,160,45,20
749.713,85,5,160,45,20
709.396,90,5,160,45,20
845.478,95,5,160,45,20
881.834,100,5,160,45,20
861.823,105,5,160,45,20
881.328,110,5,160,45,20
863.153,115,5,160,45,20
1190.79,120,5,160,45,20
1199.02,125,5,160,45,20
1102.6,130,5,160,45,20
