Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
4355.61,95,6,160,7,20
4087.2,100,6,160,7,20
6075.22,105,6,160,7,20
4628.31,110,6,160,7,20
6272.36,115,6,160,7,20
