Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.201,1,2.4,40,5,20
712.243,5,2.4,40,5,20
573.797,10,2.4,40,5,20
1308.25,15,2.4,40,5,20
1565.39,20,2.4,40,5,20
1993.95,25,2.4,40,5,20
1788.79,30,2.4,40,5,20
2300.77,35,2.4,40,5,20
2519.39,40,2.4,40,5,20
2368.14,45,2.4,40,5,20
3208.38,50,2.4,40,5,20
3892.54,55,2.4,40,5,20
3314.17,60,2.4,40,5,20
4042.96,65,2.4,40,5,20
3697.04,70,2.4,40,5,20
4020.51,75,2.4,40,5,20
4088.63,80,2.4,40,5,20
6308.97,85,2.4,40,5,20
4606.66,90,2.4,40,5,20
4869.08,95,2.4,40,5,20
4721.73,100,2.4,40,5,20
5274.55,105,2.4,40,5,20
4974.35,110,2.4,40,5,20
6789.88,115,2.4,40,5,20
5479.94,120,2.4,40,5,20
6351.7,125,2.4,40,5,20
5403.55,130,2.4,40,5,20
8270.69,135,2.4,40,5,20
8758.78,140,2.4,40,5,20
10180.3,145,2.4,40,5,20
9933,150,2.4,40,5,20
