Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.188,1,2.4,40,2,20
727.859,5,2.4,40,2,20
569.71,10,2.4,40,2,20
1268.79,15,2.4,40,2,20
1747.6,20,2.4,40,2,20
2006.16,25,2.4,40,2,20
1928.55,30,2.4,40,2,20
2180.33,35,2.4,40,2,20
2632.66,40,2.4,40,2,20
2207.17,45,2.4,40,2,20
3173.26,50,2.4,40,2,20
4175.2,55,2.4,40,2,20
3386.08,60,2.4,40,2,20
4375.9,65,2.4,40,2,20
3660.24,70,2.4,40,2,20
3676.1,75,2.4,40,2,20
4145.54,80,2.4,40,2,20
5319.97,85,2.4,40,2,20
4746.6,90,2.4,40,2,20
5411.98,95,2.4,40,2,20
4337.33,100,2.4,40,2,20
5175.66,105,2.4,40,2,20
5272.34,110,2.4,40,2,20
6747.81,115,2.4,40,2,20
5305.01,120,2.4,40,2,20
6309.9,125,2.4,40,2,20
5337.87,130,2.4,40,2,20
7420.46,135,2.4,40,2,20
8502.49,140,2.4,40,2,20
11228.9,145,2.4,40,2,20
9452.18,150,2.4,40,2,20
