Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
439.452,1,6,160,6,20
549.67,5,6,160,6,20
666.674,10,6,160,6,20
1171.3,15,6,160,6,20
1256.51,20,6,160,6,20
1777.06,25,6,160,6,20
1829.85,30,6,160,6,20
2390.71,35,6,160,6,20
1810.23,40,6,160,6,20
2039.3,45,6,160,6,20
2076.17,50,6,160,6,20
3610.63,55,6,160,6,20
2979.11,60,6,160,6,20
3798.92,65,6,160,6,20
3350.84,70,6,160,6,20
2788.27,75,6,160,6,20
3263.54,80,6,160,6,20
3509.35,85,6,160,6,20
3962.73,90,6,160,6,20
5430.01,95,6,160,6,20
4150.23,100,6,160,6,20
4592.59,105,6,160,6,20
5352.58,110,6,160,6,20
4835.67,115,6,160,6,20
3826.36,120,6,160,6,20
5242.81,125,6,160,6,20
4578.78,130,6,160,6,20
