MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.59604,3,20,800,30,8
1,15.3528,3,20,800,30,8
2,22.956,3,20,800,30,8
3,30.8015,3,20,800,30,8
4,46.1975,3,20,800,30,8
5,61.5915,3,20,800,30,8
6,69.296,3,20,800,30,8
7,76.9847,3,20,800,30,8
8,92.0377,3,20,800,30,8
9,101.807,3,20,800,30,8
10,113.9,3,20,800,30,8
11,125.596,3,20,800,30,8
0,15.2444,3,40,800,30,8
1,30.6926,3,40,800,30,8
2,46.0332,3,40,800,30,8
3,61.5915,3,40,800,30,8
4,92.0377,3,40,800,30,8
5,120.891,3,40,800,30,8
6,135.168,3,40,800,30,8
7,149.403,3,40,800,30,8
8,176.976,3,40,800,30,8
9,194.432,3,40,800,30,8
10,217.035,3,40,800,30,8
11,237.365,3,40,800,30,8
0,31.8732,3,80,800,30,8
1,64.1284,3,80,800,30,8
2,95.8987,3,80,800,30,8
3,126.494,3,80,800,30,8
4,184.334,3,80,800,30,8
5,238.963,3,80,800,30,8
6,265.813,3,80,800,30,8
7,292.074,3,80,800,30,8
8,339.601,3,80,800,30,8
9,371.618,3,80,800,30,8
10,410.298,3,80,800,30,8
11,446.439,3,80,800,30,8
0,63.6749,3,160,800,30,8
1,125.837,3,160,800,30,8
2,182.93,3,160,800,30,8
3,238.963,3,160,800,30,8
4,339.601,3,160,800,30,8
5,430.196,3,160,800,30,8
6,476.412,3,160,800,30,8
7,518.159,3,160,800,30,8
8,586.719,3,160,800,30,8
9,639.614,3,160,800,30,8
10,689.323,3,160,800,30,8
11,747.397,3,160,800,30,8
0,6.46366,3,20,3200,30,8
1,13.011,3,20,3200,30,8
2,19.5319,3,20,3200,30,8
3,26.1649,3,20,3200,30,8
4,39.1903,3,20,3200,30,8
5,52.2937,3,20,3200,30,8
6,58.7822,3,20,3200,30,8
7,65.4325,3,20,3200,30,8
8,78.4992,3,20,3200,30,8
9,87.1179,3,20,3200,30,8
10,97.5426,3,20,3200,30,8
11,107.642,3,20,3200,30,8
0,12.9139,3,40,3200,30,8
1,26.0696,3,40,3200,30,8
2,39.0517,3,40,3200,30,8
3,52.2937,3,40,3200,30,8
4,78.4992,3,40,3200,30,8
5,103.574,3,40,3200,30,8
6,115.918,3,40,3200,30,8
7,128.24,3,40,3200,30,8
8,152.19,3,40,3200,30,8
9,167.396,3,40,3200,30,8
10,187.135,3,40,3200,30,8
11,204.943,3,40,3200,30,8
0,27.0726,3,80,3200,30,8
1,54.4617,3,80,3200,30,8
2,81.7327,3,80,3200,30,8
3,108.418,3,80,3200,30,8
4,158.59,3,80,3200,30,8
5,206.34,3,80,3200,30,8
6,229.944,3,80,3200,30,8
7,253.103,3,80,3200,30,8
8,295.222,3,80,3200,30,8
9,323.742,3,80,3200,30,8
10,358.37,3,80,3200,30,8
11,390.893,3,80,3200,30,8
0,54.0745,3,160,3200,30,8
1,107.935,3,160,3200,30,8
2,157.558,3,160,3200,30,8
3,206.34,3,160,3200,30,8
4,295.222,3,160,3200,30,8
5,376.259,3,160,3200,30,8
6,417.977,3,160,3200,30,8
7,455.888,3,160,3200,30,8
8,518.607,3,160,3200,30,8
9,567.396,3,160,3200,30,8
10,613.57,3,160,3200,30,8
11,667.935,3,160,3200,30,8
