MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.59365,3,20,800,30,4
1,OfdmRate12Mbps,15.3487,3,20,800,30,4
2,OfdmRate18Mbps,22.949,3,20,800,30,4
3,OfdmRate24Mbps,30.7938,3,20,800,30,4
4,OfdmRate36Mbps,46.1832,3,20,800,30,4
5,OfdmRate48Mbps,61.5725,3,20,800,30,4
6,OfdmRate54Mbps,69.2744,3,20,800,30,4
7,OfdmRate54Mbps,76.9603,3,20,800,30,4
8,OfdmRate54Mbps,92.0119,3,20,800,30,4
9,OfdmRate54Mbps,101.78,3,20,800,30,4
10,OfdmRate54Mbps,113.869,3,20,800,30,4
11,OfdmRate54Mbps,125.561,3,20,800,30,4
0,OfdmRate6Mbps,15.2408,3,40,800,30,4
1,OfdmRate12Mbps,30.684,3,40,800,30,4
2,OfdmRate18Mbps,46.0174,3,40,800,30,4
3,OfdmRate24Mbps,61.5725,3,40,800,30,4
4,OfdmRate36Mbps,92.0119,3,40,800,30,4
5,OfdmRate48Mbps,120.856,3,40,800,30,4
6,OfdmRate54Mbps,135.131,3,40,800,30,4
7,OfdmRate54Mbps,149.36,3,40,800,30,4
8,OfdmRate54Mbps,176.926,3,40,800,30,4
9,OfdmRate54Mbps,194.381,3,40,800,30,4
10,OfdmRate54Mbps,216.973,3,40,800,30,4
11,OfdmRate54Mbps,237.296,3,40,800,30,4
0,OfdmRate6Mbps,31.8647,3,80,800,30,4
1,OfdmRate12Mbps,64.1084,3,80,800,30,4
2,OfdmRate18Mbps,95.8719,3,80,800,30,4
3,OfdmRate24Mbps,126.458,3,80,800,30,4
4,OfdmRate36Mbps,184.276,3,80,800,30,4
5,OfdmRate48Mbps,238.892,3,80,800,30,4
6,OfdmRate54Mbps,265.74,3,80,800,30,4
7,OfdmRate54Mbps,291.988,3,80,800,30,4
8,OfdmRate54Mbps,339.503,3,80,800,30,4
9,OfdmRate54Mbps,371.513,3,80,800,30,4
10,OfdmRate54Mbps,410.181,3,80,800,30,4
11,OfdmRate54Mbps,446.314,3,80,800,30,4
0,OfdmRate6Mbps,63.658,3,160,800,30,4
1,OfdmRate12Mbps,125.799,3,160,800,30,4
2,OfdmRate18Mbps,182.885,3,160,800,30,4
3,OfdmRate24Mbps,238.892,3,160,800,30,4
4,OfdmRate36Mbps,339.503,3,160,800,30,4
5,OfdmRate48Mbps,430.07,3,160,800,30,4
6,OfdmRate54Mbps,476.276,3,160,800,30,4
7,OfdmRate54Mbps,518.011,3,160,800,30,4
8,OfdmRate54Mbps,586.547,3,160,800,30,4
9,OfdmRate54Mbps,639.422,3,160,800,30,4
10,OfdmRate54Mbps,689.127,3,160,800,30,4
11,OfdmRate54Mbps,747.176,3,160,800,30,4
0,OfdmRate6Mbps,6.46177,3,20,3200,30,4
1,OfdmRate12Mbps,13.0081,3,20,3200,30,4
2,OfdmRate18Mbps,19.5275,3,20,3200,30,4
3,OfdmRate24Mbps,26.157,3,20,3200,30,4
4,OfdmRate36Mbps,39.1821,3,20,3200,30,4
5,OfdmRate48Mbps,52.281,3,20,3200,30,4
6,OfdmRate54Mbps,58.762,3,20,3200,30,4
7,OfdmRate54Mbps,65.4132,3,20,3200,30,4
8,OfdmRate54Mbps,78.475,3,20,3200,30,4
9,OfdmRate54Mbps,87.0874,3,20,3200,30,4
10,OfdmRate54Mbps,97.5127,3,20,3200,30,4
