MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.59653,3,20,800,30,10
1,OfdmRate12Mbps,15.3552,3,20,800,30,10
2,OfdmRate18Mbps,22.9582,3,20,800,30,10
3,OfdmRate24Mbps,30.8066,3,20,800,30,10
4,OfdmRate36Mbps,46.2018,3,20,800,30,10
5,OfdmRate48Mbps,61.5962,3,20,800,30,10
6,OfdmRate54Mbps,69.302,3,20,800,30,10
7,OfdmRate54Mbps,76.9944,3,20,800,30,10
8,OfdmRate54Mbps,92.0465,3,20,800,30,10
9,OfdmRate54Mbps,101.826,3,20,800,30,10
10,OfdmRate54Mbps,113.919,3,20,800,30,10
11,OfdmRate54Mbps,125.616,3,20,800,30,10
0,OfdmRate6Mbps,15.2466,3,40,800,30,10
1,OfdmRate12Mbps,30.6963,3,40,800,30,10
2,OfdmRate18Mbps,46.038,3,40,800,30,10
3,OfdmRate24Mbps,61.5962,3,40,800,30,10
4,OfdmRate36Mbps,92.0465,3,40,800,30,10
5,OfdmRate48Mbps,120.909,3,40,800,30,10
6,OfdmRate54Mbps,135.189,3,40,800,30,10
7,OfdmRate54Mbps,149.42,3,40,800,30,10
8,OfdmRate54Mbps,177,3,40,800,30,10
9,OfdmRate54Mbps,194.462,3,40,800,30,10
10,OfdmRate54Mbps,217.063,3,40,800,30,10
11,OfdmRate54Mbps,237.397,3,40,800,30,10
0,OfdmRate6Mbps,31.8776,3,80,800,30,10
1,OfdmRate12Mbps,64.1376,3,80,800,30,10
2,OfdmRate18Mbps,95.9168,3,80,800,30,10
3,OfdmRate24Mbps,126.511,3,80,800,30,10
4,OfdmRate36Mbps,184.363,3,80,800,30,10
5,OfdmRate48Mbps,238.996,3,80,800,30,10
6,OfdmRate54Mbps,265.85,3,80,800,30,10
7,OfdmRate54Mbps,292.114,3,80,800,30,10
8,OfdmRate54Mbps,339.654,3,80,800,30,10
9,OfdmRate54Mbps,371.672,3,80,800,30,10
10,OfdmRate54Mbps,410.355,3,80,800,30,10
11,OfdmRate54Mbps,446.503,3,80,800,30,10
0,OfdmRate6Mbps,63.6863,3,160,800,30,10
1,OfdmRate12Mbps,125.852,3,160,800,30,10
2,OfdmRate18Mbps,182.957,3,160,800,30,10
3,OfdmRate24Mbps,238.996,3,160,800,30,10
4,OfdmRate36Mbps,339.654,3,160,800,30,10
5,OfdmRate48Mbps,430.257,3,160,800,30,10
6,OfdmRate54Mbps,476.479,3,160,800,30,10
7,OfdmRate54Mbps,518.231,3,160,800,30,10
8,OfdmRate54Mbps,586.8,3,160,800,30,10
9,OfdmRate54Mbps,639.701,3,160,800,30,10
10,OfdmRate54Mbps,689.421,3,160,800,30,10
11,OfdmRate54Mbps,747.506,3,160,800,30,10
0,OfdmRate6Mbps,6.46449,3,20,3200,30,10
1,OfdmRate12Mbps,13.0116,3,20,3200,30,10
2,OfdmRate18Mbps,19.5355,3,20,3200,30,10
3,OfdmRate24Mbps,26.1677,3,20,3200,30,10
4,OfdmRate36Mbps,39.1977,3,20,3200,30,10
5,OfdmRate48Mbps,52.3024,3,20,3200,30,10
6,OfdmRate54Mbps,58.7875,3,20,3200,30,10
7,OfdmRate54Mbps,65.4417,3,20,3200,30,10
8,OfdmRate54Mbps,78.5095,3,20,3200,30,10
9,OfdmRate54Mbps,87.1251,3,20,3200,30,10
10,OfdmRate54Mbps,97.5562,3,20,3200,30,10
11,OfdmRate54Mbps,107.658,3,20,3200,30,10
0,OfdmRate6Mbps,12.9153,3,40,3200,30,10
1,OfdmRate12Mbps,26.0732,3,40,3200,30,10
2,OfdmRate18Mbps,39.0578,3,40,3200,30,10
3,OfdmRate24Mbps,52.3024,3,40,3200,30,10
4,OfdmRate36Mbps,78.5095,3,40,3200,30,10
5,OfdmRate48Mbps,103.59,3,40,3200,30,10
6,OfdmRate54Mbps,115.934,3,40,3200,30,10
7,OfdmRate54Mbps,128.26,3,40,3200,30,10
8,OfdmRate54Mbps,152.215,3,40,3200,30,10
9,OfdmRate54Mbps,167.421,3,40,3200,30,10
10,OfdmRate54Mbps,187.16,3,40,3200,30,10
11,OfdmRate54Mbps,204.969,3,40,3200,30,10
0,OfdmRate6Mbps,27.076,3,80,3200,30,10
1,OfdmRate12Mbps,54.4692,3,80,3200,30,10
2,OfdmRate18Mbps,81.7426,3,80,3200,30,10
3,OfdmRate24Mbps,108.425,3,80,3200,30,10
4,OfdmRate36Mbps,158.614,3,80,3200,30,10
5,OfdmRate48Mbps,206.371,3,80,3200,30,10
6,OfdmRate54Mbps,229.977,3,80,3200,30,10
7,OfdmRate54Mbps,253.139,3,80,3200,30,10
8,OfdmRate54Mbps,295.26,3,80,3200,30,10
9,OfdmRate54Mbps,323.787,3,80,3200,30,10
10,OfdmRate54Mbps,358.42,3,80,3200,30,10
11,OfdmRate54Mbps,390.942,3,80,3200,30,10
0,OfdmRate6Mbps,54.0787,3,160,3200,30,10
1,OfdmRate12Mbps,107.94,3,160,3200,30,10
2,OfdmRate18Mbps,157.579,3,160,3200,30,10
3,OfdmRate24Mbps,206.371,3,160,3200,30,10
4,OfdmRate36Mbps,295.26,3,160,3200,30,10
5,OfdmRate48Mbps,376.31,3,160,3200,30,10
6,OfdmRate54Mbps,418.036,3,160,3200,30,10
7,OfdmRate54Mbps,455.953,3,160,3200,30,10
8,OfdmRate54Mbps,518.679,3,160,3200,30,10
