MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.59604,3,20,800,30,8
1,OfdmRate12Mbps,15.3528,3,20,800,30,8
2,OfdmRate18Mbps,22.956,3,20,800,30,8
3,OfdmRate24Mbps,30.8015,3,20,800,30,8
4,OfdmRate36Mbps,46.1975,3,20,800,30,8
5,OfdmRate48Mbps,61.5915,3,20,800,30,8
6,OfdmRate54Mbps,69.296,3,20,800,30,8
7,OfdmRate54Mbps,76.9847,3,20,800,30,8
8,OfdmRate54Mbps,92.0377,3,20,800,30,8
9,OfdmRate54Mbps,101.807,3,20,800,30,8
10,OfdmRate54Mbps,113.9,3,20,800,30,8
11,OfdmRate54Mbps,125.596,3,20,800,30,8
0,OfdmRate6Mbps,15.2444,3,40,800,30,8
1,OfdmRate12Mbps,30.6926,3,40,800,30,8
2,OfdmRate18Mbps,46.0332,3,40,800,30,8
3,OfdmRate24Mbps,61.5915,3,40,800,30,8
4,OfdmRate36Mbps,92.0377,3,40,800,30,8
5,OfdmRate48Mbps,120.891,3,40,800,30,8
6,OfdmRate54Mbps,135.168,3,40,800,30,8
7,OfdmRate54Mbps,149.403,3,40,800,30,8
8,OfdmRate54Mbps,176.976,3,40,800,30,8
9,OfdmRate54Mbps,194.432,3,40,800,30,8
10,OfdmRate54Mbps,217.035,3,40,800,30,8
11,OfdmRate54Mbps,237.365,3,40,800,30,8
0,OfdmRate6Mbps,31.8732,3,80,800,30,8
1,OfdmRate12Mbps,64.1284,3,80,800,30,8
2,OfdmRate18Mbps,95.8987,3,80,800,30,8
3,OfdmRate24Mbps,126.494,3,80,800,30,8
4,OfdmRate36Mbps,184.334,3,80,800,30,8
5,OfdmRate48Mbps,238.963,3,80,800,30,8
6,OfdmRate54Mbps,265.813,3,80,800,30,8
7,OfdmRate54Mbps,292.074,3,80,800,30,8
8,OfdmRate54Mbps,339.601,3,80,800,30,8
9,OfdmRate54Mbps,371.618,3,80,800,30,8
10,OfdmRate54Mbps,410.298,3,80,800,30,8
11,OfdmRate54Mbps,446.439,3,80,800,30,8
0,OfdmRate6Mbps,63.6749,3,160,800,30,8
1,OfdmRate12Mbps,125.837,3,160,800,30,8
2,OfdmRate18Mbps,182.93,3,160,800,30,8
3,OfdmRate24Mbps,238.963,3,160,800,30,8
4,OfdmRate36Mbps,339.601,3,160,800,30,8
5,OfdmRate48Mbps,430.196,3,160,800,30,8
6,OfdmRate54Mbps,476.412,3,160,800,30,8
7,OfdmRate54Mbps,518.159,3,160,800,30,8
8,OfdmRate54Mbps,586.719,3,160,800,30,8
9,OfdmRate54Mbps,639.614,3,160,800,30,8
10,OfdmRate54Mbps,689.323,3,160,800,30,8
11,OfdmRate54Mbps,747.397,3,160,800,30,8
0,OfdmRate6Mbps,6.46366,3,20,3200,30,8
1,OfdmRate12Mbps,13.011,3,20,3200,30,8
2,OfdmRate18Mbps,19.5319,3,20,3200,30,8
3,OfdmRate24Mbps,26.1649,3,20,3200,30,8
4,OfdmRate36Mbps,39.1903,3,20,3200,30,8
5,OfdmRate48Mbps,52.2937,3,20,3200,30,8
6,OfdmRate54Mbps,58.7822,3,20,3200,30,8
7,OfdmRate54Mbps,65.4325,3,20,3200,30,8
8,OfdmRate54Mbps,78.4992,3,20,3200,30,8
9,OfdmRate54Mbps,87.1179,3,20,3200,30,8
10,OfdmRate54Mbps,97.5426,3,20,3200,30,8
11,OfdmRate54Mbps,107.642,3,20,3200,30,8
0,OfdmRate6Mbps,12.9139,3,40,3200,30,8
1,OfdmRate12Mbps,26.0696,3,40,3200,30,8
2,OfdmRate18Mbps,39.0517,3,40,3200,30,8
3,OfdmRate24Mbps,52.2937,3,40,3200,30,8
4,OfdmRate36Mbps,78.4992,3,40,3200,30,8
5,OfdmRate48Mbps,103.574,3,40,3200,30,8
6,OfdmRate54Mbps,115.918,3,40,3200,30,8
7,OfdmRate54Mbps,128.24,3,40,3200,30,8
8,OfdmRate54Mbps,152.19,3,40,3200,30,8
9,OfdmRate54Mbps,167.396,3,40,3200,30,8
10,OfdmRate54Mbps,187.135,3,40,3200,30,8
11,OfdmRate54Mbps,204.943,3,40,3200,30,8
0,OfdmRate6Mbps,27.0726,3,80,3200,30,8
1,OfdmRate12Mbps,54.4617,3,80,3200,30,8
2,OfdmRate18Mbps,81.7327,3,80,3200,30,8
3,OfdmRate24Mbps,108.418,3,80,3200,30,8
4,OfdmRate36Mbps,158.59,3,80,3200,30,8
5,OfdmRate48Mbps,206.34,3,80,3200,30,8
6,OfdmRate54Mbps,229.944,3,80,3200,30,8
7,OfdmRate54Mbps,253.103,3,80,3200,30,8
8,OfdmRate54Mbps,295.222,3,80,3200,30,8
9,OfdmRate54Mbps,323.742,3,80,3200,30,8
10,OfdmRate54Mbps,358.37,3,80,3200,30,8
11,OfdmRate54Mbps,390.893,3,80,3200,30,8
0,OfdmRate6Mbps,54.0745,3,160,3200,30,8
1,OfdmRate12Mbps,107.935,3,160,3200,30,8
2,OfdmRate18Mbps,157.558,3,160,3200,30,8
3,OfdmRate24Mbps,206.34,3,160,3200,30,8
4,OfdmRate36Mbps,295.222,3,160,3200,30,8
5,OfdmRate48Mbps,376.259,3,160,3200,30,8
6,OfdmRate54Mbps,417.977,3,160,3200,30,8
7,OfdmRate54Mbps,455.888,3,160,3200,30,8
8,OfdmRate54Mbps,518.607,3,160,3200,30,8
9,OfdmRate54Mbps,567.396,3,160,3200,30,8
10,OfdmRate54Mbps,613.57,3,160,3200,30,8
11,OfdmRate54Mbps,667.935,3,160,3200,30,8
