MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,OfdmRate6Mbps,7.59396,3,20,30
1,OfdmRate12Mbps,15.3503,3,20,30
2,OfdmRate18Mbps,22.9506,3,20,30
3,OfdmRate24Mbps,30.7986,3,20,30
4,OfdmRate36Mbps,46.1875,3,20,30
5,OfdmRate48Mbps,61.5837,3,20,30
6,OfdmRate54Mbps,69.2842,3,20,30
7,OfdmRate54Mbps,76.9763,3,20,30
8,OfdmRate54Mbps,92.0224,3,20,30
9,OfdmRate54Mbps,101.797,3,20,30
10,OfdmRate54Mbps,113.887,3,20,30
11,OfdmRate54Mbps,125.581,3,20,30
0,OfdmRate6Mbps,15.2421,3,40,30
1,OfdmRate12Mbps,30.688,3,40,30
2,OfdmRate18Mbps,46.0243,3,40,30
3,OfdmRate24Mbps,61.5837,3,40,30
4,OfdmRate36Mbps,92.0224,3,40,30
5,OfdmRate48Mbps,120.873,3,40,30
6,OfdmRate54Mbps,135.151,3,40,30
7,OfdmRate54Mbps,149.376,3,40,30
8,OfdmRate54Mbps,176.952,3,40,30
9,OfdmRate54Mbps,194.406,3,40,30
10,OfdmRate54Mbps,217.002,3,40,30
11,OfdmRate54Mbps,237.33,3,40,30
