MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.49008,3,20,800,30,1
1,ErpOfdmRate12Mbps,15.1407,3,20,800,30,1
2,ErpOfdmRate18Mbps,22.6396,3,20,800,30,1
3,ErpOfdmRate24Mbps,30.3778,3,20,800,30,1
4,ErpOfdmRate36Mbps,45.5615,3,20,800,30,1
5,ErpOfdmRate48Mbps,60.7459,3,20,800,30,1
6,ErpOfdmRate54Mbps,68.3429,3,20,800,30,1
7,ErpOfdmRate54Mbps,75.929,3,20,800,30,1
8,ErpOfdmRate54Mbps,90.7745,3,20,800,30,1
9,ErpOfdmRate54Mbps,100.409,3,20,800,30,1
10,ErpOfdmRate54Mbps,112.341,3,20,800,30,1
11,ErpOfdmRate54Mbps,123.877,3,20,800,30,1
0,ErpOfdmRate6Mbps,15.0344,3,40,800,30,1
1,ErpOfdmRate12Mbps,30.2708,3,40,800,30,1
2,ErpOfdmRate18Mbps,45.3987,3,40,800,30,1
3,ErpOfdmRate24Mbps,60.7459,3,40,800,30,1
4,ErpOfdmRate36Mbps,90.7745,3,40,800,30,1
5,ErpOfdmRate48Mbps,119.236,3,40,800,30,1
6,ErpOfdmRate54Mbps,133.314,3,40,800,30,1
7,ErpOfdmRate54Mbps,147.352,3,40,800,30,1
8,ErpOfdmRate54Mbps,174.552,3,40,800,30,1
9,ErpOfdmRate54Mbps,191.767,3,40,800,30,1
10,ErpOfdmRate54Mbps,214.051,3,40,800,30,1
11,ErpOfdmRate54Mbps,234.103,3,40,800,30,1
0,ErpOfdmRate6Mbps,6.37359,3,20,3200,30,1
1,ErpOfdmRate12Mbps,12.8316,3,20,3200,30,1
2,ErpOfdmRate18Mbps,19.2637,3,20,3200,30,1
3,ErpOfdmRate24Mbps,25.8051,3,20,3200,30,1
4,ErpOfdmRate36Mbps,38.6519,3,20,3200,30,1
5,ErpOfdmRate48Mbps,51.5763,3,20,3200,30,1
6,ErpOfdmRate54Mbps,57.9722,3,20,3200,30,1
7,ErpOfdmRate54Mbps,64.5355,3,20,3200,30,1
8,ErpOfdmRate54Mbps,77.4192,3,20,3200,30,1
9,ErpOfdmRate54Mbps,85.922,3,20,3200,30,1
10,ErpOfdmRate54Mbps,96.2098,3,20,3200,30,1
11,ErpOfdmRate54Mbps,106.163,3,20,3200,30,1
0,ErpOfdmRate6Mbps,12.7353,3,40,3200,30,1
1,ErpOfdmRate12Mbps,25.7106,3,40,3200,30,1
2,ErpOfdmRate18Mbps,38.5148,3,40,3200,30,1
3,ErpOfdmRate24Mbps,51.5763,3,40,3200,30,1
4,ErpOfdmRate36Mbps,77.4192,3,40,3200,30,1
5,ErpOfdmRate48Mbps,102.154,3,40,3200,30,1
6,ErpOfdmRate54Mbps,114.33,3,40,3200,30,1
7,ErpOfdmRate54Mbps,126.482,3,40,3200,30,1
8,ErpOfdmRate54Mbps,150.101,3,40,3200,30,1
9,ErpOfdmRate54Mbps,165.102,3,40,3200,30,1
10,ErpOfdmRate54Mbps,184.566,3,40,3200,30,1
11,ErpOfdmRate54Mbps,202.127,3,40,3200,30,1
