MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,7.59396,3,20,30
1,15.3503,3,20,30
2,22.9506,3,20,30
3,30.7986,3,20,30
4,46.1875,3,20,30
5,61.5837,3,20,30
6,69.2842,3,20,30
7,76.9763,3,20,30
8,92.0224,3,20,30
9,101.797,3,20,30
10,113.887,3,20,30
11,125.581,3,20,30
0,15.2421,3,40,30
1,30.688,3,40,30
2,46.0243,3,40,30
3,61.5837,3,40,30
4,92.0224,3,40,30
5,120.873,3,40,30
6,135.151,3,40,30
7,149.376,3,40,30
8,176.952,3,40,30
9,194.406,3,40,30
10,217.002,3,40,30
11,237.33,3,40,30
0,31.8694,3,80,30
1,64.1164,3,80,30
2,95.8886,3,80,30
3,126.473,3,80,30
4,184.305,3,80,30
5,238.927,3,80,30
6,265.777,3,80,30
7,292.035,3,80,30
8,339.555,3,80,30
9,371.565,3,80,30
10,410.238,3,80,30
11,446.377,3,80,30
0,63.6659,3,160,30
1,125.818,3,160,30
2,182.911,3,160,30
3,238.927,3,160,30
4,339.555,3,160,30
5,430.135,3,160,30
6,476.339,3,160,30
7,518.082,3,160,30
8,586.627,3,160,30
9,639.519,3,160,30
10,689.222,3,160,30
11,747.288,3,160,30
