MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.40663,3,20,800,30,10
1,OfdmRate12Mbps,15.1684,3,20,800,30,10
2,OfdmRate18Mbps,22.6735,3,20,800,30,10
3,OfdmRate24Mbps,30.6003,3,20,800,30,10
4,OfdmRate36Mbps,45.893,3,20,800,30,10
5,OfdmRate48Mbps,61.1869,3,20,800,30,10
6,OfdmRate54Mbps,68.8437,3,20,800,30,10
7,OfdmRate54Mbps,76.4794,3,20,800,30,10
8,OfdmRate54Mbps,91.3915,3,20,800,30,10
9,OfdmRate54Mbps,101.025,3,20,800,30,10
10,OfdmRate54Mbps,112.922,3,20,800,30,10
11,OfdmRate54Mbps,124.409,3,20,800,30,10
12,OfdmRate54Mbps,133.796,3,20,800,30,10
13,OfdmRate54Mbps,147.725,3,20,800,30,10
0,OfdmRate6Mbps,14.8866,3,40,800,30,10
1,OfdmRate12Mbps,30.3212,3,40,800,30,10
2,OfdmRate18Mbps,45.472,3,40,800,30,10
3,OfdmRate24Mbps,61.1869,3,40,800,30,10
4,OfdmRate36Mbps,91.3915,3,40,800,30,10
5,OfdmRate48Mbps,119.787,3,40,800,30,10
6,OfdmRate54Mbps,133.796,3,40,800,30,10
7,OfdmRate54Mbps,147.725,3,40,800,30,10
8,OfdmRate54Mbps,174.637,3,40,800,30,10
9,OfdmRate54Mbps,191.615,3,40,800,30,10
10,OfdmRate54Mbps,213.535,3,40,800,30,10
11,OfdmRate54Mbps,233.186,3,40,800,30,10
12,OfdmRate54Mbps,249.594,3,40,800,30,10
13,OfdmRate54Mbps,274.722,3,40,800,30,10
0,OfdmRate6Mbps,31.0906,3,80,800,30,10
1,OfdmRate12Mbps,63.3102,3,80,800,30,10
2,OfdmRate18Mbps,94.6039,3,80,800,30,10
3,OfdmRate24Mbps,125.287,3,80,800,30,10
4,OfdmRate36Mbps,181.796,3,80,800,30,10
5,OfdmRate48Mbps,234.732,3,80,800,30,10
6,OfdmRate54Mbps,260.601,3,80,800,30,10
7,OfdmRate54Mbps,285.793,3,80,800,30,10
8,OfdmRate54Mbps,331.147,3,80,800,30,10
9,OfdmRate54Mbps,361.528,3,80,800,30,10
10,OfdmRate54Mbps,398.039,3,80,800,30,10
11,OfdmRate54Mbps,431.964,3,80,800,30,10
12,OfdmRate54Mbps,459.971,3,80,800,30,10
13,OfdmRate54Mbps,498.778,3,80,800,30,10
0,OfdmRate6Mbps,62.1364,3,160,800,30,10
1,OfdmRate12Mbps,123.492,3,160,800,30,10
2,OfdmRate18Mbps,178.302,3,160,800,30,10
