MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.48756,3,20,800,30,7
1,ErpOfdmRate12Mbps,15.1369,3,20,800,30,7
2,ErpOfdmRate18Mbps,22.6336,3,20,800,30,7
3,ErpOfdmRate24Mbps,30.3696,3,20,800,30,7
4,ErpOfdmRate36Mbps,45.5493,3,20,800,30,7
5,ErpOfdmRate48Mbps,60.729,3,20,800,30,7
6,ErpOfdmRate54Mbps,68.3262,3,20,800,30,7
7,ErpOfdmRate54Mbps,75.9077,3,20,800,30,7
8,ErpOfdmRate54Mbps,90.7476,3,20,800,30,7
9,ErpOfdmRate54Mbps,100.382,3,20,800,30,7
10,ErpOfdmRate54Mbps,112.307,3,20,800,30,7
11,ErpOfdmRate54Mbps,123.842,3,20,800,30,7
0,ErpOfdmRate6Mbps,15.0302,3,40,800,30,7
1,ErpOfdmRate12Mbps,30.2614,3,40,800,30,7
2,ErpOfdmRate18Mbps,45.386,3,40,800,30,7
3,ErpOfdmRate24Mbps,60.729,3,40,800,30,7
4,ErpOfdmRate36Mbps,90.7476,3,40,800,30,7
5,ErpOfdmRate48Mbps,119.202,3,40,800,30,7
6,ErpOfdmRate54Mbps,133.277,3,40,800,30,7
7,ErpOfdmRate54Mbps,147.312,3,40,800,30,7
8,ErpOfdmRate54Mbps,174.494,3,40,800,30,7
9,ErpOfdmRate54Mbps,191.707,3,40,800,30,7
10,ErpOfdmRate54Mbps,213.993,3,40,800,30,7
11,ErpOfdmRate54Mbps,234.035,3,40,800,30,7
0,ErpOfdmRate6Mbps,6.3717,3,20,3200,30,7
1,ErpOfdmRate12Mbps,12.8279,3,20,3200,30,7
2,ErpOfdmRate18Mbps,19.2578,3,20,3200,30,7
3,ErpOfdmRate24Mbps,25.7972,3,20,3200,30,7
4,ErpOfdmRate36Mbps,38.6414,3,20,3200,30,7
5,ErpOfdmRate48Mbps,51.561,3,20,3200,30,7
6,ErpOfdmRate54Mbps,57.9561,3,20,3200,30,7
7,ErpOfdmRate54Mbps,64.5151,3,20,3200,30,7
8,ErpOfdmRate54Mbps,77.3994,3,20,3200,30,7
9,ErpOfdmRate54Mbps,85.8975,3,20,3200,30,7
10,ErpOfdmRate54Mbps,96.1802,3,20,3200,30,7
11,ErpOfdmRate54Mbps,106.132,3,20,3200,30,7
0,ErpOfdmRate6Mbps,12.7316,3,40,3200,30,7
1,ErpOfdmRate12Mbps,25.7026,3,40,3200,30,7
2,ErpOfdmRate18Mbps,38.5044,3,40,3200,30,7
3,ErpOfdmRate24Mbps,51.561,3,40,3200,30,7
4,ErpOfdmRate36Mbps,77.3994,3,40,3200,30,7
5,ErpOfdmRate48Mbps,102.125,3,40,3200,30,7
6,ErpOfdmRate54Mbps,114.297,3,40,3200,30,7
7,ErpOfdmRate54Mbps,126.445,3,40,3200,30,7
8,ErpOfdmRate54Mbps,150.059,3,40,3200,30,7
9,ErpOfdmRate54Mbps,165.052,3,40,3200,30,7
10,ErpOfdmRate54Mbps,184.515,3,40,3200,30,7
11,ErpOfdmRate54Mbps,202.073,3,40,3200,30,7
