MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.59191,3,20,800,30,2
1,15.3459,3,20,800,30,2
2,22.9453,3,20,800,30,2
3,30.7883,3,20,800,30,2
4,46.1743,3,20,800,30,2
5,61.5653,3,20,800,30,2
6,69.2671,3,20,800,30,2
7,76.9518,3,20,800,30,2
8,91.9979,3,20,800,30,2
9,101.766,3,20,800,30,2
10,113.855,3,20,800,30,2
11,125.545,3,20,800,30,2
0,15.2379,3,40,800,30,2
1,30.6791,3,40,800,30,2
2,46.0113,3,40,800,30,2
3,61.5653,3,40,800,30,2
4,91.9979,3,40,800,30,2
5,120.839,3,40,800,30,2
6,135.112,3,40,800,30,2
7,149.337,3,40,800,30,2
8,176.897,3,40,800,30,2
9,194.354,3,40,800,30,2
10,216.939,3,40,800,30,2
11,237.262,3,40,800,30,2
0,31.8612,3,80,800,30,2
1,64.1028,3,80,800,30,2
2,95.8589,3,80,800,30,2
3,126.44,3,80,800,30,2
4,184.258,3,80,800,30,2
5,238.86,3,80,800,30,2
6,265.702,3,80,800,30,2
7,291.949,3,80,800,30,2
8,339.454,3,80,800,30,2
9,371.457,3,80,800,30,2
10,410.121,3,80,800,30,2
11,446.251,3,80,800,30,2
0,63.6502,3,160,800,30,2
1,125.777,3,160,800,30,2
2,182.853,3,160,800,30,2
3,238.86,3,160,800,30,2
4,339.454,3,160,800,30,2
5,430.011,3,160,800,30,2
6,476.205,3,160,800,30,2
7,517.939,3,160,800,30,2
8,586.469,3,160,800,30,2
9,639.335,3,160,800,30,2
10,689.025,3,160,800,30,2
11,747.071,3,160,800,30,2
0,6.46078,3,20,3200,30,2
1,13.0046,3,20,3200,30,2
2,19.5241,3,20,3200,30,2
3,26.1531,3,20,3200,30,2
4,39.1751,3,20,3200,30,2
5,52.2707,3,20,3200,30,2
6,58.7542,3,20,3200,30,2
7,65.4045,3,20,3200,30,2
8,78.4639,3,20,3200,30,2
9,87.0856,3,20,3200,30,2
10,97.5054,3,20,3200,30,2
11,107.598,3,20,3200,30,2
0,12.9082,3,40,3200,30,2
1,26.0585,3,40,3200,30,2
2,39.0351,3,40,3200,30,2
3,52.2707,3,40,3200,30,2
4,78.4639,3,40,3200,30,2
5,103.533,3,40,3200,30,2
6,115.866,3,40,3200,30,2
7,128.187,3,40,3200,30,2
8,152.124,3,40,3200,30,2
9,167.324,3,40,3200,30,2
10,187.056,3,40,3200,30,2
11,204.847,3,40,3200,30,2
0,27.0596,3,80,3200,30,2
1,54.4362,3,80,3200,30,2
2,81.6965,3,80,3200,30,2
3,108.367,3,80,3200,30,2
4,158.522,3,80,3200,30,2
5,206.253,3,80,3200,30,2
6,229.844,3,80,3200,30,2
7,252.993,3,80,3200,30,2
8,295.089,3,80,3200,30,2
9,323.602,3,80,3200,30,2
10,358.22,3,80,3200,30,2
11,390.727,3,80,3200,30,2
0,54.0529,3,160,3200,30,2
1,107.879,3,160,3200,30,2
2,157.489,3,160,3200,30,2
3,206.253,3,160,3200,30,2
4,295.089,3,160,3200,30,2
5,376.098,3,160,3200,30,2
6,417.797,3,160,3200,30,2
7,455.695,3,160,3200,30,2
8,518.379,3,160,3200,30,2
9,567.154,3,160,3200,30,2
10,613.309,3,160,3200,30,2
11,667.646,3,160,3200,30,2
