MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.28999,3,20,800,30,8
1,ErpOfdmRate12Mbps,14.9317,3,20,800,30,8
2,ErpOfdmRate18Mbps,22.3179,3,20,800,30,8
3,ErpOfdmRate24Mbps,30.1251,3,20,800,30,8
4,ErpOfdmRate36Mbps,45.1801,3,20,800,30,8
5,ErpOfdmRate48Mbps,60.2345,3,20,800,30,8
6,ErpOfdmRate54Mbps,67.7724,3,20,800,30,8
7,ErpOfdmRate54Mbps,75.2854,3,20,800,30,8
8,ErpOfdmRate54Mbps,89.9722,3,20,800,30,8
9,ErpOfdmRate54Mbps,99.4497,3,20,800,30,8
10,ErpOfdmRate54Mbps,111.163,3,20,800,30,8
11,ErpOfdmRate54Mbps,122.475,3,20,800,30,8
12,ErpOfdmRate54Mbps,131.709,3,20,800,30,8
13,ErpOfdmRate54Mbps,145.425,3,20,800,30,8
0,ErpOfdmRate6Mbps,14.6533,3,40,800,30,8
1,ErpOfdmRate12Mbps,29.8488,3,40,800,30,8
2,ErpOfdmRate18Mbps,44.7648,3,40,800,30,8
3,ErpOfdmRate24Mbps,60.2345,3,40,800,30,8
4,ErpOfdmRate36Mbps,89.9722,3,40,800,30,8
5,ErpOfdmRate48Mbps,117.921,3,40,800,30,8
6,ErpOfdmRate54Mbps,131.709,3,40,800,30,8
7,ErpOfdmRate54Mbps,145.425,3,40,800,30,8
8,ErpOfdmRate54Mbps,171.922,3,40,800,30,8
9,ErpOfdmRate54Mbps,188.635,3,40,800,30,8
10,ErpOfdmRate54Mbps,210.213,3,40,800,30,8
11,ErpOfdmRate54Mbps,229.559,3,40,800,30,8
12,ErpOfdmRate54Mbps,245.707,3,40,800,30,8
13,ErpOfdmRate54Mbps,270.442,3,40,800,30,8
0,ErpOfdmRate6Mbps,6.20512,3,20,3200,30,8
1,ErpOfdmRate12Mbps,12.6449,3,20,3200,30,8
2,ErpOfdmRate18Mbps,18.9946,3,20,3200,30,8
3,ErpOfdmRate24Mbps,25.5848,3,20,3200,30,8
4,ErpOfdmRate36Mbps,38.3288,3,20,3200,30,8
5,ErpOfdmRate48Mbps,51.1413,3,20,3200,30,8
6,ErpOfdmRate54Mbps,57.4826,3,20,3200,30,8
7,ErpOfdmRate54Mbps,63.9935,3,20,3200,30,8
8,ErpOfdmRate54Mbps,76.7693,3,20,3200,30,8
9,ErpOfdmRate54Mbps,85.1893,3,20,3200,30,8
10,ErpOfdmRate54Mbps,95.3144,3,20,3200,30,8
11,ErpOfdmRate54Mbps,105.108,3,20,3200,30,8
12,ErpOfdmRate54Mbps,113.114,3,20,3200,30,8
13,ErpOfdmRate54Mbps,125.025,3,20,3200,30,8
0,ErpOfdmRate6Mbps,12.3961,3,40,3200,30,8
1,ErpOfdmRate12Mbps,25.3468,3,40,3200,30,8
2,ErpOfdmRate18Mbps,37.9748,3,40,3200,30,8
3,ErpOfdmRate24Mbps,51.1413,3,40,3200,30,8
4,ErpOfdmRate36Mbps,76.7693,3,40,3200,30,8
5,ErpOfdmRate48Mbps,101.16,3,40,3200,30,8
6,ErpOfdmRate54Mbps,113.114,3,40,3200,30,8
7,ErpOfdmRate54Mbps,125.025,3,40,3200,30,8
8,ErpOfdmRate54Mbps,148.113,3,40,3200,30,8
9,ErpOfdmRate54Mbps,162.727,3,40,3200,30,8
10,ErpOfdmRate54Mbps,181.647,3,40,3200,30,8
11,ErpOfdmRate54Mbps,198.671,3,40,3200,30,8
12,ErpOfdmRate54Mbps,212.921,3,40,3200,30,8
13,ErpOfdmRate54Mbps,234.818,3,40,3200,30,8
