MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.28688,3,20,800,30,7
1,ErpOfdmRate12Mbps,14.9252,3,20,800,30,7
2,ErpOfdmRate18Mbps,22.3084,3,20,800,30,7
3,ErpOfdmRate24Mbps,30.1118,3,20,800,30,7
4,ErpOfdmRate36Mbps,45.161,3,20,800,30,7
5,ErpOfdmRate48Mbps,60.2108,3,20,800,30,7
6,ErpOfdmRate54Mbps,67.7374,3,20,800,30,7
7,ErpOfdmRate54Mbps,75.258,3,20,800,30,7
8,ErpOfdmRate54Mbps,89.9322,3,20,800,30,7
9,ErpOfdmRate54Mbps,99.4082,3,20,800,30,7
10,ErpOfdmRate54Mbps,111.117,3,20,800,30,7
11,ErpOfdmRate54Mbps,122.419,3,20,800,30,7
12,ErpOfdmRate54Mbps,131.653,3,20,800,30,7
13,ErpOfdmRate54Mbps,145.364,3,20,800,30,7
0,ErpOfdmRate6Mbps,14.6472,3,40,800,30,7
1,ErpOfdmRate12Mbps,29.8354,3,40,800,30,7
2,ErpOfdmRate18Mbps,44.7452,3,40,800,30,7
3,ErpOfdmRate24Mbps,60.2108,3,40,800,30,7
4,ErpOfdmRate36Mbps,89.9322,3,40,800,30,7
5,ErpOfdmRate48Mbps,117.872,3,40,800,30,7
6,ErpOfdmRate54Mbps,131.653,3,40,800,30,7
7,ErpOfdmRate54Mbps,145.364,3,40,800,30,7
8,ErpOfdmRate54Mbps,171.844,3,40,800,30,7
9,ErpOfdmRate54Mbps,188.552,3,40,800,30,7
10,ErpOfdmRate54Mbps,210.118,3,40,800,30,7
11,ErpOfdmRate54Mbps,229.455,3,40,800,30,7
12,ErpOfdmRate54Mbps,245.602,3,40,800,30,7
13,ErpOfdmRate54Mbps,270.321,3,40,800,30,7
0,ErpOfdmRate6Mbps,6.20276,3,20,3200,30,7
1,ErpOfdmRate12Mbps,12.6397,3,20,3200,30,7
2,ErpOfdmRate18Mbps,18.9863,3,20,3200,30,7
3,ErpOfdmRate24Mbps,25.5738,3,20,3200,30,7
4,ErpOfdmRate36Mbps,38.3115,3,20,3200,30,7
5,ErpOfdmRate48Mbps,51.1207,3,20,3200,30,7
6,ErpOfdmRate54Mbps,57.4606,3,20,3200,30,7
7,ErpOfdmRate54Mbps,63.9647,3,20,3200,30,7
8,ErpOfdmRate54Mbps,76.7372,3,20,3200,30,7
9,ErpOfdmRate54Mbps,85.1548,3,20,3200,30,7
10,ErpOfdmRate54Mbps,95.2743,3,20,3200,30,7
11,ErpOfdmRate54Mbps,105.055,3,20,3200,30,7
12,ErpOfdmRate54Mbps,113.066,3,20,3200,30,7
13,ErpOfdmRate54Mbps,124.97,3,20,3200,30,7
0,ErpOfdmRate6Mbps,12.3905,3,40,3200,30,7
1,ErpOfdmRate12Mbps,25.3353,3,40,3200,30,7
2,ErpOfdmRate18Mbps,37.9591,3,40,3200,30,7
3,ErpOfdmRate24Mbps,51.1207,3,40,3200,30,7
4,ErpOfdmRate36Mbps,76.7372,3,40,3200,30,7
5,ErpOfdmRate48Mbps,101.118,3,40,3200,30,7
6,ErpOfdmRate54Mbps,113.066,3,40,3200,30,7
7,ErpOfdmRate54Mbps,124.97,3,40,3200,30,7
8,ErpOfdmRate54Mbps,148.047,3,40,3200,30,7
9,ErpOfdmRate54Mbps,162.657,3,40,3200,30,7
10,ErpOfdmRate54Mbps,181.571,3,40,3200,30,7
11,ErpOfdmRate54Mbps,198.583,3,40,3200,30,7
12,ErpOfdmRate54Mbps,212.826,3,40,3200,30,7
13,ErpOfdmRate54Mbps,234.719,3,40,3200,30,7
