MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.40253,3,20,800,30,2
1,15.1598,3,20,800,30,2
2,22.6605,3,20,800,30,2
3,30.5838,3,20,800,30,2
4,45.8676,3,20,800,30,2
5,61.1505,3,20,800,30,2
6,68.8051,3,20,800,30,2
7,76.4352,3,20,800,30,2
8,91.3424,3,20,800,30,2
9,100.966,3,20,800,30,2
10,112.856,3,20,800,30,2
11,124.336,3,20,800,30,2
12,133.719,3,20,800,30,2
13,147.641,3,20,800,30,2
0,14.8779,3,40,800,30,2
1,30.3034,3,40,800,30,2
2,45.4476,3,40,800,30,2
3,61.1505,3,40,800,30,2
4,91.3424,3,40,800,30,2
5,119.719,3,40,800,30,2
6,133.719,3,40,800,30,2
7,147.641,3,40,800,30,2
8,174.535,3,40,800,30,2
9,191.506,3,40,800,30,2
10,213.413,3,40,800,30,2
11,233.05,3,40,800,30,2
12,249.452,3,40,800,30,2
13,274.569,3,40,800,30,2
0,31.0718,3,80,800,30,2
1,63.2724,3,80,800,30,2
2,94.5496,3,80,800,30,2
3,125.213,3,80,800,30,2
4,181.692,3,80,800,30,2
5,234.597,3,80,800,30,2
6,260.45,3,80,800,30,2
7,285.628,3,80,800,30,2
8,330.962,3,80,800,30,2
9,361.319,3,80,800,30,2
10,397.807,3,80,800,30,2
11,431.717,3,80,800,30,2
12,459.711,3,80,800,30,2
13,498.497,3,80,800,30,2
0,62.0969,3,160,800,30,2
1,123.422,3,160,800,30,2
2,178.198,3,160,800,30,2
3,234.597,3,160,800,30,2
4,330.962,3,160,800,30,2
5,416.509,3,160,800,30,2
6,459.711,3,160,800,30,2
7,498.497,3,160,800,30,2
8,561.684,3,160,800,30,2
9,610.013,3,160,800,30,2
10,655.104,3,160,800,30,2
11,707.4,3,160,800,30,2
12,736.805,3,160,800,30,2
13,0.0183009,3,160,800,30,2
0,6.30107,3,20,3200,30,2
1,12.8389,3,20,3200,30,2
2,19.2853,3,20,3200,30,2
3,25.9755,3,20,3200,30,2
4,38.9113,3,20,3200,30,2
5,51.9224,3,20,3200,30,2
6,58.3596,3,20,3200,30,2
7,64.968,3,20,3200,30,2
8,77.939,3,20,3200,30,2
9,86.4898,3,20,3200,30,2
10,96.7666,3,20,3200,30,2
11,106.704,3,20,3200,30,2
12,114.834,3,20,3200,30,2
13,126.928,3,20,3200,30,2
0,12.5862,3,40,3200,30,2
1,25.7335,3,40,3200,30,2
2,38.5527,3,40,3200,30,2
3,51.9224,3,40,3200,30,2
4,77.939,3,40,3200,30,2
5,102.701,3,40,3200,30,2
6,114.834,3,40,3200,30,2
7,126.928,3,40,3200,30,2
8,150.364,3,40,3200,30,2
9,165.205,3,40,3200,30,2
10,184.419,3,40,3200,30,2
11,201.699,3,40,3200,30,2
12,216.172,3,40,3200,30,2
13,238.401,3,40,3200,30,2
0,26.3851,3,80,3200,30,2
1,53.729,3,80,3200,30,2
2,80.6902,3,80,3200,30,2
3,107.464,3,80,3200,30,2
4,156.619,3,80,3200,30,2
5,203.06,3,80,3200,30,2
6,225.892,3,80,3200,30,2
7,248.218,3,80,3200,30,2
8,288.638,3,80,3200,30,2
9,315.868,3,80,3200,30,2
10,348.779,3,80,3200,30,2
11,379.518,3,80,3200,30,2
12,405.024,3,80,3200,30,2
13,440.557,3,80,3200,30,2
0,52.7213,3,160,3200,30,2
1,106.138,3,160,3200,30,2
2,154.016,3,160,3200,30,2
3,203.06,3,160,3200,30,2
4,288.638,3,160,3200,30,2
5,365.708,3,160,3200,30,2
6,405.024,3,160,3200,30,2
7,440.557,3,160,3200,30,2
8,498.909,3,160,3200,30,2
9,543.939,3,160,3200,30,2
10,586.275,3,160,3200,30,2
11,635.762,3,160,3200,30,2
12,663.758,3,160,3200,30,2
13,710.732,3,160,3200,30,2
