MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,ErpOfdmRate6Mbps,7.28897,3,20,30
1,ErpOfdmRate12Mbps,14.9289,3,20,30
2,ErpOfdmRate18Mbps,22.3171,3,20,30
3,ErpOfdmRate24Mbps,30.1174,3,20,30
4,ErpOfdmRate36Mbps,45.1732,3,20,30
5,ErpOfdmRate48Mbps,60.227,3,20,30
6,ErpOfdmRate54Mbps,67.7572,3,20,30
7,ErpOfdmRate54Mbps,75.2792,3,20,30
8,ErpOfdmRate54Mbps,89.9577,3,20,30
9,ErpOfdmRate54Mbps,99.4357,3,20,30
10,ErpOfdmRate54Mbps,111.147,3,20,30
11,ErpOfdmRate54Mbps,122.454,3,20,30
12,ErpOfdmRate54Mbps,131.695,3,20,30
13,ErpOfdmRate54Mbps,145.408,3,20,30
0,ErpOfdmRate6Mbps,14.6506,3,40,30
1,ErpOfdmRate12Mbps,29.8438,3,40,30
2,ErpOfdmRate18Mbps,44.7596,3,40,30
3,ErpOfdmRate24Mbps,60.227,3,40,30
4,ErpOfdmRate36Mbps,89.9577,3,40,30
5,ErpOfdmRate48Mbps,117.906,3,40,30
6,ErpOfdmRate54Mbps,131.695,3,40,30
7,ErpOfdmRate54Mbps,145.408,3,40,30
8,ErpOfdmRate54Mbps,171.894,3,40,30
9,ErpOfdmRate54Mbps,188.609,3,40,30
10,ErpOfdmRate54Mbps,210.182,3,40,30
11,ErpOfdmRate54Mbps,229.524,3,40,30
12,ErpOfdmRate54Mbps,245.672,3,40,30
13,ErpOfdmRate54Mbps,270.403,3,40,30
