Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
164.334,1,2.4,40,5,20
699.448,5,2.4,40,5,20
550.057,10,2.4,40,5,20
1162.91,15,2.4,40,5,20
1489.74,20,2.4,40,5,20
1912.14,25,2.4,40,5,20
1794.54,30,2.4,40,5,20
2216.45,35,2.4,40,5,20
2559.76,40,2.4,40,5,20
2222.97,45,2.4,40,5,20
3301.42,50,2.4,40,5,20
3547.86,55,2.4,40,5,20
3326.85,60,2.4,40,5,20
3768.26,65,2.4,40,5,20
3732.86,70,2.4,40,5,20
3620.55,75,2.4,40,5,20
4416.8,80,2.4,40,5,20
5527.52,85,2.4,40,5,20
4270.64,90,2.4,40,5,20
5146.49,95,2.4,40,5,20
4581.43,100,2.4,40,5,20
5109.68,105,2.4,40,5,20
4746.66,110,2.4,40,5,20
6364.48,115,2.4,40,5,20
4925.93,120,2.4,40,5,20
6148.78,125,2.4,40,5,20
5531.76,130,2.4,40,5,20
8247.38,135,2.4,40,5,20
8694.39,140,2.4,40,5,20
8701.74,145,2.4,40,5,20
11348.1,150,2.4,40,5,20
