Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
308.657,1,6,160,2,20
792.325,5,6,160,2,20
432.791,10,6,160,2,20
912.772,15,6,160,2,20
1511.58,20,6,160,2,20
1758.31,25,6,160,2,20
1397.13,30,6,160,2,20
2284.01,35,6,160,2,20
1548.35,40,6,160,2,20
1890.44,45,6,160,2,20
2199.52,50,6,160,2,20
2846.23,55,6,160,2,20
2288.87,60,6,160,2,20
3358.23,65,6,160,2,20
2638.3,70,6,160,2,20
2736.78,75,6,160,2,20
2941.47,80,6,160,2,20
3155.09,85,6,160,2,20
3109.01,90,6,160,2,20
4691.73,95,6,160,2,20
