Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
272.739,1,6,160,10,20
571.642,5,6,160,10,20
420.196,10,6,160,10,20
684.129,15,6,160,10,20
1491.44,20,6,160,10,20
1898.65,25,6,160,10,20
1666.38,30,6,160,10,20
2256.28,35,6,160,10,20
2113.18,40,6,160,10,20
2273.41,45,6,160,10,20
2712.4,50,6,160,10,20
4119.54,55,6,160,10,20
2514.22,60,6,160,10,20
2717.3,65,6,160,10,20
2709.01,70,6,160,10,20
2834.91,75,6,160,10,20
2994.49,80,6,160,10,20
3543.29,85,6,160,10,20
2910.78,90,6,160,10,20
4767.36,95,6,160,10,20
3171.08,100,6,160,10,20
5438.01,105,6,160,10,20
4077.58,110,6,160,10,20
