Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
1507.5,60,2.4,40,49,20
854.124,65,2.4,40,49,20
939.054,70,2.4,40,49,20
1270.53,75,2.4,40,49,20
1760.84,80,2.4,40,49,20
1579.83,85,2.4,40,49,20
1238.38,90,2.4,40,49,20
1655.07,95,2.4,40,49,20
1904.29,100,2.4,40,49,20
2407.64,105,2.4,40,49,20
2081.04,110,2.4,40,49,20
2025.33,115,2.4,40,49,20
2667.16,120,2.4,40,49,20
1937.02,125,2.4,40,49,20
1891.81,130,2.4,40,49,20
1931.01,135,2.4,40,49,20
2372.2,140,2.4,40,49,20
267.849,1,5,160,49,20
293.245,40,5,160,49,20
433.058,45,5,160,49,20
351.523,50,5,160,49,20
413.259,55,5,160,49,20
431.573,60,5,160,49,20
421.833,65,5,160,49,20
514.137,70,5,160,49,20
578.244,75,5,160,49,20
694.302,80,5,160,49,20
605.698,85,5,160,49,20
545.252,90,5,160,49,20
658.36,95,5,160,49,20
672.334,100,5,160,49,20
760.898,105,5,160,49,20
816.538,110,5,160,49,20
832.526,115,5,160,49,20
928.776,120,5,160,49,20
981.261,125,5,160,49,20
947.184,130,5,160,49,20
840.904,135,5,160,49,20
922.33,140,5,160,49,20
267.773,1,6,160,49,20
264.009,40,6,160,49,20
337.879,45,6,160,49,20
267.761,50,6,160,49,20
297.857,55,6,160,49,20
348.88,60,6,160,49,20
337.382,65,6,160,49,20
456.424,70,6,160,49,20
431.647,75,6,160,49,20
559.002,80,6,160,49,20
518.099,85,6,160,49,20
423.664,90,6,160,49,20
542.31,95,6,160,49,20
564.715,100,6,160,49,20
