Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
4272.06,90,5,160,1,20
4780.14,95,5,160,1,20
3740.45,100,5,160,1,20
5686.27,105,5,160,1,20
5175.76,110,5,160,1,20
5509.17,115,5,160,1,20
4449.84,120,5,160,1,20
5072.88,125,5,160,1,20
4900.29,130,5,160,1,20
6955.89,135,5,160,1,20
