Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
1253.31,60,2.4,40,44,20
980.239,65,2.4,40,44,20
1041.15,70,2.4,40,44,20
1408.35,75,2.4,40,44,20
1448.9,80,2.4,40,44,20
1779.42,85,2.4,40,44,20
1302.31,90,2.4,40,44,20
1971.26,95,2.4,40,44,20
1787.61,100,2.4,40,44,20
1898.93,105,2.4,40,44,20
2074.32,110,2.4,40,44,20
1623.15,115,2.4,40,44,20
1929.74,120,2.4,40,44,20
2004.2,125,2.4,40,44,20
1778.84,130,2.4,40,44,20
1986.6,135,2.4,40,44,20
2217.63,140,2.4,40,44,20
44.7287,1,5,160,44,20
367.998,40,5,160,44,20
378.464,45,5,160,44,20
346.558,50,5,160,44,20
357.971,55,5,160,44,20
428.445,60,5,160,44,20
527.171,65,5,160,44,20
429.815,70,5,160,44,20
550.824,75,5,160,44,20
540.099,80,5,160,44,20
615.497,85,5,160,44,20
559.231,90,5,160,44,20
664.513,95,5,160,44,20
702.775,100,5,160,44,20
671.794,105,5,160,44,20
864.242,110,5,160,44,20
850.556,115,5,160,44,20
878.04,120,5,160,44,20
982.523,125,5,160,44,20
845.836,130,5,160,44,20
880.318,135,5,160,44,20
