MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.40663,3,20,800,30,5
1,15.1684,3,20,800,30,5
2,22.6735,3,20,800,30,5
3,30.6003,3,20,800,30,5
4,45.893,3,20,800,30,5
5,61.1869,3,20,800,30,5
6,68.8437,3,20,800,30,5
7,76.4794,3,20,800,30,5
8,91.3915,3,20,800,30,5
9,101.025,3,20,800,30,5
10,112.922,3,20,800,30,5
11,124.409,3,20,800,30,5
12,133.796,3,20,800,30,5
13,147.725,3,20,800,30,5
0,14.8866,3,40,800,30,5
1,30.3212,3,40,800,30,5
2,45.472,3,40,800,30,5
3,61.1869,3,40,800,30,5
4,91.3915,3,40,800,30,5
5,119.787,3,40,800,30,5
6,133.796,3,40,800,30,5
7,147.725,3,40,800,30,5
8,174.637,3,40,800,30,5
9,191.615,3,40,800,30,5
10,213.535,3,40,800,30,5
11,233.186,3,40,800,30,5
12,249.594,3,40,800,30,5
13,274.722,3,40,800,30,5
0,31.0906,3,80,800,30,5
1,63.3102,3,80,800,30,5
2,94.6039,3,80,800,30,5
3,125.287,3,80,800,30,5
4,181.796,3,80,800,30,5
5,234.732,3,80,800,30,5
6,260.601,3,80,800,30,5
7,285.793,3,80,800,30,5
8,331.147,3,80,800,30,5
9,361.528,3,80,800,30,5
10,398.039,3,80,800,30,5
11,431.964,3,80,800,30,5
12,459.971,3,80,800,30,5
13,498.778,3,80,800,30,5
0,62.1364,3,160,800,30,5
1,123.492,3,160,800,30,5
2,178.302,3,160,800,30,5
3,234.732,3,160,800,30,5
4,331.147,3,160,800,30,5
5,416.748,3,160,800,30,5
6,459.971,3,160,800,30,5
7,498.778,3,160,800,30,5
8,561.999,3,160,800,30,5
9,610.357,3,160,800,30,5
10,655.478,3,160,800,30,5
11,707.803,3,160,800,30,5
12,737.225,3,160,800,30,5
13,0.0183009,3,160,800,30,5
0,6.30432,3,20,3200,30,5
1,12.846,3,20,3200,30,5
2,19.2959,3,20,3200,30,5
3,25.9909,3,20,3200,30,5
4,38.9342,3,20,3200,30,5
5,51.9506,3,20,3200,30,5
6,58.3932,3,20,3200,30,5
7,65.0034,3,20,3200,30,5
8,77.9842,3,20,3200,30,5
9,86.538,3,20,3200,30,5
10,96.8291,3,20,3200,30,5
11,106.767,3,20,3200,30,5
12,114.9,3,20,3200,30,5
13,127.002,3,20,3200,30,5
0,12.5928,3,40,3200,30,5
1,25.7488,3,40,3200,30,5
2,38.5762,3,40,3200,30,5
3,51.9506,3,40,3200,30,5
4,77.9842,3,40,3200,30,5
5,102.762,3,40,3200,30,5
6,114.9,3,40,3200,30,5
7,127.002,3,40,3200,30,5
8,150.455,3,40,3200,30,5
9,165.299,3,40,3200,30,5
10,184.525,3,40,3200,30,5
11,201.815,3,40,3200,30,5
12,216.295,3,40,3200,30,5
13,238.535,3,40,3200,30,5
0,26.3997,3,80,3200,30,5
1,53.756,3,80,3200,30,5
2,80.741,3,80,3200,30,5
3,107.527,3,80,3200,30,5
4,156.706,3,80,3200,30,5
5,203.177,3,80,3200,30,5
6,226.022,3,80,3200,30,5
7,248.358,3,80,3200,30,5
8,288.799,3,80,3200,30,5
9,316.05,3,80,3200,30,5
10,348.969,3,80,3200,30,5
11,379.74,3,80,3200,30,5
12,405.261,3,80,3200,30,5
13,440.808,3,80,3200,30,5
0,52.7541,3,160,3200,30,5
1,106.203,3,160,3200,30,5
2,154.108,3,160,3200,30,5
3,203.177,3,160,3200,30,5
4,288.799,3,160,3200,30,5
5,365.913,3,160,3200,30,5
6,405.261,3,160,3200,30,5
7,440.808,3,160,3200,30,5
8,499.199,3,160,3200,30,5
9,544.249,3,160,3200,30,5
10,586.608,3,160,3200,30,5
11,636.12,3,160,3200,30,5
12,664.142,3,160,3200,30,5
13,711.142,3,160,3200,30,5
