MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.59365,3,20,800,30,4
1,15.3487,3,20,800,30,4
2,22.949,3,20,800,30,4
3,30.7938,3,20,800,30,4
4,46.1832,3,20,800,30,4
5,61.5725,3,20,800,30,4
6,69.2744,3,20,800,30,4
7,76.9603,3,20,800,30,4
8,92.0119,3,20,800,30,4
9,101.78,3,20,800,30,4
10,113.869,3,20,800,30,4
11,125.561,3,20,800,30,4
0,15.2408,3,40,800,30,4
1,30.684,3,40,800,30,4
2,46.0174,3,40,800,30,4
3,61.5725,3,40,800,30,4
4,92.0119,3,40,800,30,4
5,120.856,3,40,800,30,4
6,135.131,3,40,800,30,4
7,149.36,3,40,800,30,4
8,176.926,3,40,800,30,4
9,194.381,3,40,800,30,4
10,216.973,3,40,800,30,4
11,237.296,3,40,800,30,4
0,31.8647,3,80,800,30,4
1,64.1084,3,80,800,30,4
2,95.8719,3,80,800,30,4
3,126.458,3,80,800,30,4
4,184.276,3,80,800,30,4
5,238.892,3,80,800,30,4
6,265.74,3,80,800,30,4
7,291.988,3,80,800,30,4
8,339.503,3,80,800,30,4
9,371.513,3,80,800,30,4
10,410.181,3,80,800,30,4
11,446.314,3,80,800,30,4
0,63.658,3,160,800,30,4
1,125.799,3,160,800,30,4
2,182.885,3,160,800,30,4
3,238.892,3,160,800,30,4
4,339.503,3,160,800,30,4
5,430.07,3,160,800,30,4
6,476.276,3,160,800,30,4
7,518.011,3,160,800,30,4
8,586.547,3,160,800,30,4
9,639.422,3,160,800,30,4
10,689.127,3,160,800,30,4
11,747.176,3,160,800,30,4
0,6.46177,3,20,3200,30,4
1,13.0081,3,20,3200,30,4
2,19.5275,3,20,3200,30,4
3,26.157,3,20,3200,30,4
4,39.1821,3,20,3200,30,4
5,52.281,3,20,3200,30,4
6,58.762,3,20,3200,30,4
7,65.4132,3,20,3200,30,4
8,78.475,3,20,3200,30,4
9,87.0874,3,20,3200,30,4
10,97.5127,3,20,3200,30,4
11,107.613,3,20,3200,30,4
0,12.9098,3,40,3200,30,4
1,26.061,3,40,3200,30,4
2,39.0407,3,40,3200,30,4
3,52.281,3,40,3200,30,4
4,78.475,3,40,3200,30,4
5,103.54,3,40,3200,30,4
6,115.885,3,40,3200,30,4
7,128.202,3,40,3200,30,4
8,152.146,3,40,3200,30,4
9,167.352,3,40,3200,30,4
10,187.079,3,40,3200,30,4
11,204.878,3,40,3200,30,4
0,27.0642,3,80,3200,30,4
1,54.4447,3,80,3200,30,4
2,81.707,3,80,3200,30,4
3,108.385,3,80,3200,30,4
4,158.545,3,80,3200,30,4
5,206.283,3,80,3200,30,4
6,229.878,3,80,3200,30,4
7,253.029,3,80,3200,30,4
8,295.139,3,80,3200,30,4
9,323.648,3,80,3200,30,4
10,358.273,3,80,3200,30,4
11,390.776,3,80,3200,30,4
0,54.0588,3,160,3200,30,4
1,107.906,3,160,3200,30,4
2,157.511,3,160,3200,30,4
3,206.283,3,160,3200,30,4
4,295.139,3,160,3200,30,4
5,376.143,3,160,3200,30,4
6,417.859,3,160,3200,30,4
7,455.753,3,160,3200,30,4
8,518.455,3,160,3200,30,4
9,567.231,3,160,3200,30,4
10,613.399,3,160,3200,30,4
11,667.747,3,160,3200,30,4
