Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
,,2.4,40,,5
176.187,5,2.4,40,30,5
176.187,10,2.4,40,30,5
157.289,15,2.4,40,30,5
90.8509,20,2.4,40,30,5
90.7187,25,2.4,40,30,5
90.4824,30,2.4,40,30,5
90.4764,35,2.4,40,30,5
90.4764,40,2.4,40,30,5
89.2378,45,2.4,40,30,5
89.2244,50,2.4,40,30,5
89.2237,55,2.4,40,30,5
89.2234,60,2.4,40,30,5
89.2068,65,2.4,40,30,5
44.7348,70,2.4,40,30,5
44.7278,75,2.4,40,30,5
44.7277,80,2.4,40,30,5
0,85,2.4,40,30,5
0,90,2.4,40,30,5
0,95,2.4,40,30,5
0,100,2.4,40,30,5
179.308,0,5,40,30,5
179.308,5,5,40,30,5
111.818,10,5,40,30,5
92.3644,15,5,40,30,5
92.0535,20,5,40,30,5
92.0485,25,5,40,30,5
90.6298,30,5,40,30,5
90.6284,35,5,40,30,5
90.5965,40,5,40,30,5
45.4298,45,5,40,30,5
38.6879,50,5,40,30,5
0,55,5,40,30,5
0,60,5,40,30,5
0,65,5,40,30,5
0,70,5,40,30,5
0,75,5,40,30,5
0,80,5,40,30,5
0,85,5,40,30,5
0,90,5,40,30,5
0,95,5,40,30,5
0,100,5,40,30,5
179.308,0,6,40,30,5
179.308,5,6,40,30,5
107.153,10,6,40,30,5
92.3644,15,6,40,30,5
92.0485,20,6,40,30,5
90.6431,25,6,40,30,5
90.6295,30,6,40,30,5
90.6122,35,6,40,30,5
45.4298,40,6,40,30,5
45.4115,45,6,40,30,5
0,50,6,40,30,5
0,55,6,40,30,5
0,60,6,40,30,5
0,65,6,40,30,5
0,70,6,40,30,5
0,75,6,40,30,5
0,80,6,40,30,5
0,85,6,40,30,5
0,90,6,40,30,5
0,95,6,40,30,5
0,100,6,40,30,5
