Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.202,0,2.4,40,30,6
179.199,5,2.4,40,30,6
179.198,10,2.4,40,30,6
159.459,15,2.4,40,30,6
91.739,20,2.4,40,30,6
91.606,25,2.4,40,30,6
91.3221,30,2.4,40,30,6
91.3156,35,2.4,40,30,6
91.3156,40,2.4,40,30,6
89.9648,45,2.4,40,30,6
89.9637,50,2.4,40,30,6
89.9506,55,2.4,40,30,6
89.9492,60,2.4,40,30,6
89.8737,65,2.4,40,30,6
46.1852,70,2.4,40,30,6
45.933,75,2.4,40,30,6
45.9325,80,2.4,40,30,6
44.2699,85,2.4,40,30,6
0,90,2.4,40,30,6
0,95,2.4,40,30,6
0,100,2.4,40,30,6
499.272,0,5,160,30,6
493.778,5,5,160,30,6
323.705,10,5,160,30,6
311.632,15,5,160,30,6
291.21,20,5,160,30,6
288.911,25,5,160,30,6
171.949,30,5,160,30,6
91.2825,35,5,160,30,6
86.246,40,5,160,30,6
51.1688,45,5,160,30,6
51.0422,50,5,160,30,6
0,55,5,160,30,6
0,60,5,160,30,6
0,65,5,160,30,6
0,70,5,160,30,6
0,75,5,160,30,6
0,80,5,160,30,6
0,85,5,160,30,6
0,90,5,160,30,6
0,95,5,160,30,6
0,100,5,160,30,6
499.272,0,6,160,30,6
454.075,5,6,160,30,6
313.008,10,6,160,30,6
293.445,15,6,160,30,6
291.106,20,6,160,30,6
172.144,25,6,160,30,6
91.4421,30,6,160,30,6
86.5705,35,6,160,30,6
51.1688,40,6,160,30,6
51.0547,45,6,160,30,6
0,50,6,160,30,6
0,55,6,160,30,6
0,60,6,160,30,6
0,65,6,160,30,6
0,70,6,160,30,6
0,75,6,160,30,6
0,80,6,160,30,6
0,85,6,160,30,6
0,90,6,160,30,6
0,95,6,160,30,6
0,100,6,160,30,6
