Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.3,0,2.4,40,30,1
179.297,5,2.4,40,30,1
179.296,10,2.4,40,30,1
159.708,15,2.4,40,30,1
91.781,20,2.4,40,30,1
91.6545,25,2.4,40,30,1
91.369,30,2.4,40,30,1
91.3635,35,2.4,40,30,1
91.3616,40,2.4,40,30,1
90.0098,45,2.4,40,30,1
90.009,50,2.4,40,30,1
89.9932,55,2.4,40,30,1
89.992,60,2.4,40,30,1
89.9164,65,2.4,40,30,1
46.2048,70,2.4,40,30,1
45.9529,75,2.4,40,30,1
45.9528,80,2.4,40,30,1
45.8116,85,2.4,40,30,1
0,90,2.4,40,30,1
0,95,2.4,40,30,1
0,100,2.4,40,30,1
182.437,0,5,40,30,1
182.435,5,5,40,30,1
113.015,10,5,40,30,1
93.1125,15,5,40,30,1
92.7515,20,5,40,30,1
92.7449,25,5,40,30,1
91.2293,30,5,40,30,1
91.2262,35,5,40,30,1
86.2266,40,5,40,30,1
46.6425,45,5,40,30,1
44.9117,50,5,40,30,1
0,55,5,40,30,1
0,60,5,40,30,1
0,65,5,40,30,1
0,70,5,40,30,1
0,75,5,40,30,1
0,80,5,40,30,1
0,85,5,40,30,1
0,90,5,40,30,1
0,95,5,40,30,1
0,100,5,40,30,1
182.437,0,6,40,30,1
182.435,5,6,40,30,1
108.231,10,6,40,30,1
93.1122,15,6,40,30,1
92.747,20,6,40,30,1
91.2428,25,6,40,30,1
91.2283,30,6,40,30,1
91.1595,35,6,40,30,1
46.6425,40,6,40,30,1
46.5915,45,6,40,30,1
0,50,6,40,30,1
0,55,6,40,30,1
0,60,6,40,30,1
0,65,6,40,30,1
0,70,6,40,30,1
0,75,6,40,30,1
0,80,6,40,30,1
0,85,6,40,30,1
0,90,6,40,30,1
0,95,6,40,30,1
0,100,6,40,30,1
