Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
,,2.4,40,,10
176.206,5,2.4,40,30,10
176.206,10,2.4,40,30,10
157.313,15,2.4,40,30,10
90.8841,20,2.4,40,30,10
90.7507,25,2.4,40,30,10
90.5144,30,2.4,40,30,10
90.5084,35,2.4,40,30,10
90.5084,40,2.4,40,30,10
89.2698,45,2.4,40,30,10
89.2554,50,2.4,40,30,10
89.2552,55,2.4,40,30,10
89.2549,60,2.4,40,30,10
89.2367,65,2.4,40,30,10
44.7492,70,2.4,40,30,10
44.7417,75,2.4,40,30,10
44.7416,80,2.4,40,30,10
0,85,2.4,40,30,10
0,90,2.4,40,30,10
0,95,2.4,40,30,10
0,100,2.4,40,30,10
179.419,0,5,40,30,10
179.419,5,5,40,30,10
111.873,10,5,40,30,10
92.3959,15,5,40,30,10
92.084,20,5,40,30,10
92.079,25,5,40,30,10
90.6597,30,5,40,30,10
90.6583,35,5,40,30,10
90.6248,40,5,40,30,10
45.4408,45,5,40,30,10
38.6983,50,5,40,30,10
0,55,5,40,30,10
0,60,5,40,30,10
0,65,5,40,30,10
0,70,5,40,30,10
0,75,5,40,30,10
0,80,5,40,30,10
0,85,5,40,30,10
0,90,5,40,30,10
0,95,5,40,30,10
0,100,5,40,30,10
179.419,0,6,40,30,10
179.419,5,6,40,30,10
107.188,10,6,40,30,10
92.3959,15,6,40,30,10
92.079,20,6,40,30,10
90.672,25,6,40,30,10
90.659,30,6,40,30,10
90.6406,35,6,40,30,10
45.4408,40,6,40,30,10
45.4235,45,6,40,30,10
0,50,6,40,30,10
0,55,6,40,30,10
0,60,6,40,30,10
0,65,6,40,30,10
0,70,6,40,30,10
0,75,6,40,30,10
0,80,6,40,30,10
0,85,6,40,30,10
0,90,6,40,30,10
0,95,6,40,30,10
0,100,6,40,30,10
