Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.266,0,2.4,40,30,8
179.265,5,2.4,40,30,8
179.263,10,2.4,40,30,8
159.675,15,2.4,40,30,8
91.7656,20,2.4,40,30,8
91.6319,25,2.4,40,30,8
91.349,30,2.4,40,30,8
91.3425,35,2.4,40,30,8
91.3418,40,2.4,40,30,8
89.9942,45,2.4,40,30,8
89.9927,50,2.4,40,30,8
89.9798,55,2.4,40,30,8
89.9791,60,2.4,40,30,8
89.8913,65,2.4,40,30,8
46.1983,70,2.4,40,30,8
45.9443,75,2.4,40,30,8
45.9443,80,2.4,40,30,8
44.3029,85,2.4,40,30,8
0,90,2.4,40,30,8
0,95,2.4,40,30,8
0,100,2.4,40,30,8
499.445,0,5,160,30,8
493.95,5,5,160,30,8
323.824,10,5,160,30,8
311.644,15,5,160,30,8
291.303,20,5,160,30,8
288.912,25,5,160,30,8
172.007,30,5,160,30,8
91.3055,35,5,160,30,8
90.9883,40,5,160,30,8
51.1908,45,5,160,30,8
51.0499,50,5,160,30,8
0,55,5,160,30,8
0,60,5,160,30,8
0,65,5,160,30,8
0,70,5,160,30,8
0,75,5,160,30,8
0,80,5,160,30,8
0,85,5,160,30,8
0,90,5,160,30,8
0,95,5,160,30,8
0,100,5,160,30,8
499.445,0,6,160,30,8
454.211,5,6,160,30,8
313.117,10,6,160,30,8
293.539,15,6,160,30,8
291.196,20,6,160,30,8
172.195,25,6,160,30,8
91.4707,30,6,160,30,8
86.5904,35,6,160,30,8
51.1908,40,6,160,30,8
51.1005,45,6,160,30,8
0,50,6,160,30,8
0,55,6,160,30,8
0,60,6,160,30,8
0,65,6,160,30,8
0,70,6,160,30,8
0,75,6,160,30,8
0,80,6,160,30,8
0,85,6,160,30,8
0,90,6,160,30,8
0,95,6,160,30,8
0,100,6,160,30,8
