QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,5,160,6,60
0,0,96601,27976,1,150,5,160,6,60
835759,32,525701,383069,2,150,5,160,6,60
1714092,30,738687,542492,3,150,5,160,6,60
2592707,32,838909,619658,4,150,5,160,6,60
3470996,56,946044,707372,5,150,5,160,6,60
4349569,31,1012425,770123,6,150,5,160,6,60
5227776,31,1078101,835799,7,150,5,160,6,60
6105270,29,1174261,931959,8,150,5,160,6,60
6982324,56,1282648,1040346,9,150,5,160,6,60
7859553,45,1387701,1145399,10,150,5,160,6,60
8736891,39,1490506,1248204,11,150,5,160,6,60
9613701,52,1613368,1371066,12,150,5,160,6,60
10490768,25,1726513,1484211,13,150,5,160,6,60
11368060,31,1830285,1587983,14,150,5,160,6,60
12245004,47,1941276,1698974,15,150,5,160,6,60
13119556,46,2144247,1901945,16,150,5,160,6,60
13993419,36,2371902,2129600,17,150,5,160,6,60
14866719,36,2622429,2380127,18,150,5,160,6,60
15739095,46,2907757,2665455,19,150,5,160,6,60
16610716,49,3226824,2984522,20,150,5,160,6,60
17481988,54,3555444,3313142,21,150,5,160,6,60
18353127,54,3889879,3647577,22,150,5,160,6,60
19223903,47,4243128,4000826,23,150,5,160,6,60
20094299,56,4607228,4364926,24,150,5,160,6,60
20964684,47,4971469,4729167,25,150,5,160,6,60
21835212,56,5335760,5093458,26,150,5,160,6,60
22705473,46,5705173,5462871,27,150,5,160,6,60
23575780,56,6076718,5834416,28,150,5,160,6,60
24446132,56,6445509,6203207,29,150,5,160,6,60
25316366,54,6816064,6573762,30,150,5,160,6,60
26186746,54,7185503,6943201,31,150,5,160,6,60
27056972,47,7558281,7315979,32,150,5,160,6,60
27927215,56,7929826,7687524,33,150,5,160,6,60
28797569,55,8298535,8056233,34,150,5,160,6,60
29667814,47,8671113,8428811,35,150,5,160,6,60
30537962,56,9047499,8805197,36,150,5,160,6,60
31408307,56,9414847,9172545,37,150,5,160,6,60
32278629,54,9784758,9542456,38,150,5,160,6,60
33148886,56,10158093,9915791,39,150,5,160,6,60
34019109,56,10530243,10287941,40,150,5,160,6,60
34889247,47,10904145,10661843,41,150,5,160,6,60
35759569,55,11277913,11035611,42,150,5,160,6,60
36629802,56,11648308,11406006,43,150,5,160,6,60
37500090,2,12016089,11773787,44,150,5,160,6,60
38370404,14,12388577,12146275,45,150,5,160,6,60
39240679,47,12760204,12517902,46,150,5,160,6,60
40110856,56,13136223,12893921,47,150,5,160,6,60
40981099,56,13505647,13263345,48,150,5,160,6,60
41851420,56,13875339,13633037,49,150,5,160,6,60
42721695,50,14247831,14005529,50,150,5,160,6,60
43591980,56,14616111,14373809,51,150,5,160,6,60
44462261,56,14985491,14743189,52,150,5,160,6,60
45332569,54,15358128,15115826,53,150,5,160,6,60
46202826,47,15727719,15485417,54,150,5,160,6,60
47073161,56,16099513,15857211,55,150,5,160,6,60
47943392,56,16470458,16228156,56,150,5,160,6,60
48813596,47,16841550,16599248,57,150,5,160,6,60
49683905,52,17213946,16971644,58,150,5,160,6,60
50554230,47,17581786,17339484,59,150,5,160,6,60
51424479,56,17950495,17708193,60,150,5,160,6,60
