PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
40,1.174,150,5,160,3,1.5
40,1.175,150,5,160,3,1.5
40,1.176,150,5,160,3,1.5
40,1.177,150,5,160,3,1.5
30,1.178,150,5,160,3,1.5
30,1.179,150,5,160,3,1.5
30,1.18,150,5,160,3,1.5
30,1.181,150,5,160,3,1.5
30,1.182,150,5,160,3,1.5
40,1.183,150,5,160,3,1.5
40,1.184,150,5,160,3,1.5
40,1.185,150,5,160,3,1.5
40,1.186,150,5,160,3,1.5
40,1.187,150,5,160,3,1.5
30,1.188,150,5,160,3,1.5
30,1.189,150,5,160,3,1.5
30,1.19,150,5,160,3,1.5
30,1.191,150,5,160,3,1.5
30,1.192,150,5,160,3,1.5
30,1.193,150,5,160,3,1.5
40,1.194,150,5,160,3,1.5
40,1.195,150,5,160,3,1.5
40,1.196,150,5,160,3,1.5
40,1.197,150,5,160,3,1.5
40,1.198,150,5,160,3,1.5
29,1.199,150,5,160,3,1.5
33,1.2,150,5,160,3,1.5
32,1.201,150,5,160,3,1.5
29,1.202,150,5,160,3,1.5
31,1.203,150,5,160,3,1.5
30,1.204,150,5,160,3,1.5
30,1.205,150,5,160,3,1.5
30,1.206,150,5,160,3,1.5
30,1.207,150,5,160,3,1.5
30,1.208,150,5,160,3,1.5
40,1.209,150,5,160,3,1.5
40,1.21,150,5,160,3,1.5
40,1.211,150,5,160,3,1.5
40,1.212,150,5,160,3,1.5
40,1.213,150,5,160,3,1.5
40,1.214,150,5,160,3,1.5
30,1.215,150,5,160,3,1.5
30,1.216,150,5,160,3,1.5
30,1.217,150,5,160,3,1.5
30,1.218,150,5,160,3,1.5
30,1.219,150,5,160,3,1.5
40,1.22,150,5,160,3,1.5
40,1.221,150,5,160,3,1.5
40,1.222,150,5,160,3,1.5
40,1.223,150,5,160,3,1.5
40,1.224,150,5,160,3,1.5
30,1.225,150,5,160,3,1.5
30,1.226,150,5,160,3,1.5
30,1.227,150,5,160,3,1.5
30,1.228,150,5,160,3,1.5
30,1.229,150,5,160,3,1.5
30,1.23,150,5,160,3,1.5
40,1.231,150,5,160,3,1.5
40,1.232,150,5,160,3,1.5
40,1.233,150,5,160,3,1.5
40,1.234,150,5,160,3,1.5
40,1.235,150,5,160,3,1.5
40,1.236,150,5,160,3,1.5
30,1.237,150,5,160,3,1.5
30,1.238,150,5,160,3,1.5
30,1.239,150,5,160,3,1.5
30,1.24,150,5,160,3,1.5
30,1.241,150,5,160,3,1.5
40,1.242,150,5,160,3,1.5
40,1.243,150,5,160,3,1.5
40,1.244,150,5,160,3,1.5
40,1.245,150,5,160,3,1.5
40,1.246,150,5,160,3,1.5
