MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,7.40421,5,20,30
1,15.1639,5,20,30
2,22.667,5,20,30
3,30.5922,5,20,30
4,45.8806,5,20,30
5,61.1676,5,20,30
6,68.8221,5,20,30
7,76.4551,5,20,30
8,91.3667,5,20,30
9,100.996,5,20,30
10,112.888,5,20,30
11,124.371,5,20,30
12,133.755,5,20,30
13,147.684,5,20,30
0,14.8828,5,40,30
1,30.3119,5,40,30
2,45.4603,5,40,30
3,61.1676,5,40,30
4,91.3667,5,40,30
5,119.753,5,40,30
6,133.755,5,40,30
7,147.686,5,40,30
8,174.584,5,40,30
9,191.563,5,40,30
10,213.471,5,40,30
11,233.119,5,40,30
12,249.527,5,40,30
13,249.029,5,40,30
0,31.0817,5,80,30
1,63.2917,5,80,30
2,94.5783,5,80,30
3,125.248,5,80,30
4,181.742,5,80,30
5,234.665,5,80,30
6,260.527,5,80,30
7,285.708,5,80,30
8,331.06,5,80,30
9,361.423,5,80,30
10,397.924,5,80,30
11,431.843,5,80,30
12,0.0183009,5,80,30
13,0.0183009,5,80,30
0,62.1151,5,160,30
1,123.457,5,160,30
2,178.251,5,160,30
3,234.665,5,160,30
4,331.06,5,160,30
5,416.626,5,160,30
6,459.838,5,160,30
7,498.64,5,160,30
8,561.851,5,160,30
9,610.186,5,160,30
10,655.29,5,160,30
11,0.0183009,5,160,30
12,0.0183009,5,160,30
13,0.0183009,5,160,30
