MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,ErpOfdmRate6Mbps,7.28897,5,20,30
1,ErpOfdmRate12Mbps,14.9289,5,20,30
2,ErpOfdmRate18Mbps,22.3171,5,20,30
3,ErpOfdmRate24Mbps,30.1174,5,20,30
4,ErpOfdmRate36Mbps,45.1732,5,20,30
5,ErpOfdmRate48Mbps,60.227,5,20,30
6,ErpOfdmRate54Mbps,67.7572,5,20,30
7,ErpOfdmRate54Mbps,75.2792,5,20,30
8,ErpOfdmRate54Mbps,89.9577,5,20,30
9,ErpOfdmRate54Mbps,99.4357,5,20,30
10,ErpOfdmRate54Mbps,111.147,5,20,30
11,ErpOfdmRate54Mbps,122.454,5,20,30
12,ErpOfdmRate54Mbps,131.695,5,20,30
13,ErpOfdmRate54Mbps,145.408,5,20,30
0,ErpOfdmRate6Mbps,14.6506,5,40,30
1,ErpOfdmRate12Mbps,29.8438,5,40,30
2,ErpOfdmRate18Mbps,44.7596,5,40,30
3,ErpOfdmRate24Mbps,60.227,5,40,30
4,ErpOfdmRate36Mbps,89.9577,5,40,30
5,ErpOfdmRate48Mbps,117.906,5,40,30
6,ErpOfdmRate54Mbps,131.695,5,40,30
7,ErpOfdmRate54Mbps,145.408,5,40,30
8,ErpOfdmRate54Mbps,171.894,5,40,30
9,ErpOfdmRate54Mbps,188.609,5,40,30
10,ErpOfdmRate54Mbps,210.182,5,40,30
11,ErpOfdmRate54Mbps,229.524,5,40,30
12,ErpOfdmRate54Mbps,245.672,5,40,30
13,ErpOfdmRate54Mbps,270.403,5,40,30
