MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,OfdmRate6Mbps,7.40421,5,20,30
1,OfdmRate12Mbps,15.1639,5,20,30
2,OfdmRate18Mbps,22.667,5,20,30
3,OfdmRate24Mbps,30.5922,5,20,30
4,OfdmRate36Mbps,45.8806,5,20,30
5,OfdmRate48Mbps,61.1676,5,20,30
6,OfdmRate54Mbps,68.8221,5,20,30
7,OfdmRate54Mbps,76.4551,5,20,30
8,OfdmRate54Mbps,91.3667,5,20,30
9,OfdmRate54Mbps,100.996,5,20,30
10,OfdmRate54Mbps,112.888,5,20,30
11,OfdmRate54Mbps,124.371,5,20,30
12,OfdmRate54Mbps,133.755,5,20,30
13,OfdmRate54Mbps,147.686,5,20,30
0,OfdmRate6Mbps,14.8828,5,40,30
1,OfdmRate12Mbps,30.3119,5,40,30
2,OfdmRate18Mbps,45.4603,5,40,30
3,OfdmRate24Mbps,61.1676,5,40,30
4,OfdmRate36Mbps,91.3667,5,40,30
5,OfdmRate48Mbps,119.753,5,40,30
6,OfdmRate54Mbps,133.755,5,40,30
7,OfdmRate54Mbps,147.686,5,40,30
8,OfdmRate54Mbps,174.584,5,40,30
9,OfdmRate54Mbps,191.563,5,40,30
10,OfdmRate54Mbps,213.471,5,40,30
11,OfdmRate54Mbps,233.119,5,40,30
12,OfdmRate54Mbps,249.522,5,40,30
13,OfdmRate54Mbps,274.649,5,40,30
0,OfdmRate6Mbps,31.0817,5,80,30
1,OfdmRate12Mbps,63.2917,5,80,30
2,OfdmRate18Mbps,94.5783,5,80,30
3,OfdmRate24Mbps,125.248,5,80,30
4,OfdmRate36Mbps,181.742,5,80,30
5,OfdmRate48Mbps,234.665,5,80,30
6,OfdmRate54Mbps,260.527,5,80,30
7,OfdmRate54Mbps,285.708,5,80,30
8,OfdmRate54Mbps,331.06,5,80,30
9,OfdmRate54Mbps,361.423,5,80,30
10,OfdmRate54Mbps,397.924,5,80,30
11,OfdmRate54Mbps,431.843,5,80,30
12,OfdmRate54Mbps,393.999,5,80,30
13,OfdmRate54Mbps,0.0183009,5,80,30
0,OfdmRate6Mbps,62.1151,5,160,30
1,OfdmRate12Mbps,123.457,5,160,30
2,OfdmRate18Mbps,178.251,5,160,30
3,OfdmRate24Mbps,234.665,5,160,30
4,OfdmRate36Mbps,331.06,5,160,30
5,OfdmRate48Mbps,416.626,5,160,30
6,OfdmRate54Mbps,459.838,5,160,30
7,OfdmRate54Mbps,498.64,5,160,30
8,OfdmRate54Mbps,561.851,5,160,30
9,OfdmRate54Mbps,610.186,5,160,30
10,OfdmRate54Mbps,655.29,5,160,30
11,OfdmRate54Mbps,707.598,5,160,30
12,OfdmRate54Mbps,0.0183009,5,160,30
13,OfdmRate54Mbps,0.0183009,5,160,30
