MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,OfdmRate6Mbps,6.3026,5,20,30
1,OfdmRate12Mbps,12.8422,5,20,30
2,OfdmRate18Mbps,19.2915,5,20,30
3,OfdmRate24Mbps,25.9832,5,20,30
4,OfdmRate36Mbps,38.9236,5,20,30
5,OfdmRate48Mbps,51.9359,5,20,30
6,OfdmRate54Mbps,58.3753,5,20,30
7,OfdmRate54Mbps,64.9883,5,20,30
8,OfdmRate54Mbps,77.9622,5,20,30
9,OfdmRate54Mbps,86.5134,5,20,30
10,OfdmRate54Mbps,96.7962,5,20,30
11,OfdmRate54Mbps,106.737,5,20,30
12,OfdmRate54Mbps,114.867,5,20,30
13,OfdmRate54Mbps,126.966,5,20,30
0,OfdmRate6Mbps,12.5895,5,40,30
1,OfdmRate12Mbps,25.7409,5,40,30
2,OfdmRate18Mbps,38.5641,5,40,30
3,OfdmRate24Mbps,51.9359,5,40,30
4,OfdmRate36Mbps,77.9622,5,40,30
5,OfdmRate48Mbps,102.732,5,40,30
6,OfdmRate54Mbps,114.867,5,40,30
7,OfdmRate54Mbps,126.966,5,40,30
8,OfdmRate54Mbps,150.411,5,40,30
9,OfdmRate54Mbps,165.254,5,40,30
10,OfdmRate54Mbps,184.468,5,40,30
11,OfdmRate54Mbps,201.758,5,40,30
12,OfdmRate54Mbps,216.231,5,40,30
13,OfdmRate54Mbps,238.466,5,40,30
0,OfdmRate6Mbps,26.3904,5,80,30
1,OfdmRate12Mbps,53.7439,5,80,30
2,OfdmRate18Mbps,80.7174,5,80,30
3,OfdmRate24Mbps,107.495,5,80,30
4,OfdmRate36Mbps,156.665,5,80,30
5,OfdmRate48Mbps,203.116,5,80,30
6,OfdmRate54Mbps,225.955,5,80,30
7,OfdmRate54Mbps,248.289,5,80,30
8,OfdmRate54Mbps,288.714,5,80,30
9,OfdmRate54Mbps,315.958,5,80,30
10,OfdmRate54Mbps,348.872,5,80,30
11,OfdmRate54Mbps,379.631,5,80,30
12,OfdmRate54Mbps,405.138,5,80,30
13,OfdmRate54Mbps,0.0183009,5,80,30
0,OfdmRate6Mbps,52.7373,5,160,30
1,OfdmRate12Mbps,106.17,5,160,30
2,OfdmRate18Mbps,154.058,5,160,30
3,OfdmRate24Mbps,203.116,5,160,30
4,OfdmRate36Mbps,288.714,5,160,30
5,OfdmRate48Mbps,365.809,5,160,30
6,OfdmRate54Mbps,405.138,5,160,30
7,OfdmRate54Mbps,440.684,5,160,30
8,OfdmRate54Mbps,499.05,5,160,30
9,OfdmRate54Mbps,544.094,5,160,30
10,OfdmRate54Mbps,586.436,5,160,30
11,OfdmRate54Mbps,635.939,5,160,30
12,OfdmRate54Mbps,0.0183009,5,160,30
13,OfdmRate54Mbps,0.0183009,5,160,30
