MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,7.59396,5,20,30
1,15.3503,5,20,30
2,22.9504,5,20,30
3,30.7984,5,20,30
4,46.1875,5,20,30
5,61.5837,5,20,30
6,69.2842,5,20,30
7,76.9763,5,20,30
8,92.0195,5,20,30
9,101.796,5,20,30
10,113.887,5,20,30
11,125.581,5,20,30
0,15.2421,5,40,30
1,30.688,5,40,30
2,46.0243,5,40,30
3,61.5837,5,40,30
4,92.0195,5,40,30
5,120.873,5,40,30
6,135.151,5,40,30
7,149.376,5,40,30
8,176.952,5,40,30
9,194.406,5,40,30
10,217.002,5,40,30
11,237.327,5,40,30
0,31.8694,5,80,30
1,64.1164,5,80,30
2,95.8886,5,80,30
3,126.472,5,80,30
4,184.305,5,80,30
5,238.926,5,80,30
6,265.777,5,80,30
7,292.034,5,80,30
8,339.553,5,80,30
9,371.561,5,80,30
10,410.23,5,80,30
11,446.344,5,80,30
0,63.6659,5,160,30
1,125.818,5,160,30
2,182.909,5,160,30
3,238.926,5,160,30
4,339.553,5,160,30
5,430.128,5,160,30
6,476.336,5,160,30
7,518.078,5,160,30
8,586.62,5,160,30
9,639.509,5,160,30
10,675.246,5,160,30
11,0.0160899,5,160,30
