MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
11,0.0183815,30,20,8
11,0.0183815,35,20,8
11,0.0183815,40,20,8
11,0.0183815,45,20,8
11,0,50,20,8
11,0,55,20,8
11,0,60,20,8
11,0,65,20,8
11,0,70,20,8
11,0,75,20,8
11,0,80,20,8
11,0,85,20,8
11,0,90,20,8
11,0,95,20,8
11,0,100,20,8
12,724.422,0,20,8
12,0.0183815,5,20,8
12,0.0183815,10,20,8
12,0.0183815,15,20,8
12,0.0183815,20,20,8
12,0.0183815,25,20,8
12,0.0183815,30,20,8
12,0.0183815,35,20,8
12,0.0183815,40,20,8
12,0.0183815,45,20,8
12,0,50,20,8
12,0,55,20,8
12,0,60,20,8
12,0,65,20,8
12,0,70,20,8
12,0,75,20,8
12,0,80,20,8
12,0,85,20,8
12,0,90,20,8
12,0,95,20,8
12,0,100,20,8
13,772.602,0,20,8
13,0.0183815,5,20,8
13,0.0183815,10,20,8
13,0.0183815,15,20,8
13,0.0183815,20,20,8
13,0.0183815,25,20,8
13,0.0183815,30,20,8
13,0.0183815,35,20,8
13,0.0183815,40,20,8
13,0.0183815,45,20,8
13,0,50,20,8
13,0,55,20,8
13,0,60,20,8
13,0,65,20,8
13,0,70,20,8
13,0,75,20,8
13,0,80,20,8
13,0,85,20,8
13,0,90,20,8
13,0,95,20,8
13,0,100,20,8
