Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0,0,2.4,40,43,20
167.227,1,2.4,40,43,20
96.5229,2,2.4,40,43,20
108.823,3,2.4,40,43,20
122.116,4,2.4,40,43,20
188.425,5,2.4,40,43,20
143.512,6,2.4,40,43,20
158.633,7,2.4,40,43,20
264.967,8,2.4,40,43,20
289.566,9,2.4,40,43,20
212.03,10,2.4,40,43,20
480.786,11,2.4,40,43,20
284.842,12,2.4,40,43,20
493.784,13,2.4,40,43,20
331.377,14,2.4,40,43,20
273.879,15,2.4,40,43,20
363.764,16,2.4,40,43,20
291.592,17,2.4,40,43,20
422.432,18,2.4,40,43,20
522.791,19,2.4,40,43,20
440.057,20,2.4,40,43,20
585.148,21,2.4,40,43,20
360.891,22,2.4,40,43,20
364.744,23,2.4,40,43,20
651.136,24,2.4,40,43,20
452.258,25,2.4,40,43,20
526.426,26,2.4,40,43,20
574.982,27,2.4,40,43,20
473.366,28,2.4,40,43,20
597.446,29,2.4,40,43,20
570.318,30,2.4,40,43,20
649.706,31,2.4,40,43,20
520.772,32,2.4,40,43,20
786.321,33,2.4,40,43,20
680.046,34,2.4,40,43,20
832.384,35,2.4,40,43,20
539.585,36,2.4,40,43,20
621.296,37,2.4,40,43,20
659.923,38,2.4,40,43,20
611.895,39,2.4,40,43,20
747.787,40,2.4,40,43,20
913.808,41,2.4,40,43,20
899.408,42,2.4,40,43,20
941.26,43,2.4,40,43,20
862.049,44,2.4,40,43,20
1005.23,45,2.4,40,43,20
919.132,46,2.4,40,43,20
561.789,47,2.4,40,43,20
1046.89,48,2.4,40,43,20
836.943,49,2.4,40,43,20
846.16,50,2.4,40,43,20
795.186,51,2.4,40,43,20
985.335,52,2.4,40,43,20
893.867,53,2.4,40,43,20
1029.29,54,2.4,40,43,20
859.731,55,2.4,40,43,20
941.969,56,2.4,40,43,20
1071.5,57,2.4,40,43,20
1066.18,58,2.4,40,43,20
1340.89,59,2.4,40,43,20
1192.67,60,2.4,40,43,20
0,0,5,160,43,20
282.771,1,5,160,43,20
88.7719,2,5,160,43,20
60.0761,3,5,160,43,20
122.636,4,5,160,43,20
108.903,5,5,160,43,20
80.8234,6,5,160,43,20
73.0784,7,5,160,43,20
291.298,8,5,160,43,20
155.999,9,5,160,43,20
130.603,10,5,160,43,20
170.665,11,5,160,43,20
116.922,12,5,160,43,20
326.196,13,5,160,43,20
118.173,14,5,160,43,20
103.573,15,5,160,43,20
194.112,16,5,160,43,20
163.405,17,5,160,43,20
197.336,18,5,160,43,20
190.025,19,5,160,43,20
172.391,20,5,160,43,20
272.972,21,5,160,43,20
158.421,22,5,160,43,20
165.558,23,5,160,43,20
251.484,24,5,160,43,20
206.223,25,5,160,43,20
244.25,26,5,160,43,20
255.661,27,5,160,43,20
193.623,28,5,160,43,20
250.881,29,5,160,43,20
226.933,30,5,160,43,20
245.55,31,5,160,43,20
297.667,32,5,160,43,20
518.87,33,5,160,43,20
373.52,34,5,160,43,20
574.415,35,5,160,43,20
254.626,36,5,160,43,20
406.417,37,5,160,43,20
334.952,38,5,160,43,20
297.947,39,5,160,43,20
366.088,40,5,160,43,20
385.299,41,5,160,43,20
445.139,42,5,160,43,20
486.747,43,5,160,43,20
454.33,44,5,160,43,20
452.922,45,5,160,43,20
385.171,46,5,160,43,20
316.854,47,5,160,43,20
400.746,48,5,160,43,20
470.662,49,5,160,43,20
401.638,50,5,160,43,20
485.311,51,5,160,43,20
464.838,52,5,160,43,20
462.591,53,5,160,43,20
505.95,54,5,160,43,20
382.816,55,5,160,43,20
409.32,56,5,160,43,20
450.36,57,5,160,43,20
532.37,58,5,160,43,20
555.71,59,5,160,43,20
543.728,60,5,160,43,20
0,0,6,160,43,20
282.596,1,6,160,43,20
88.4947,2,6,160,43,20
59.8834,3,6,160,43,20
122.407,4,6,160,43,20
106.988,5,6,160,43,20
77.4279,6,6,160,43,20
66.2295,7,6,160,43,20
241.643,8,6,160,43,20
154.885,9,6,160,43,20
96.3674,10,6,160,43,20
194.88,11,6,160,43,20
137.46,12,6,160,43,20
286.333,13,6,160,43,20
142.394,14,6,160,43,20
99.7126,15,6,160,43,20
121.917,16,6,160,43,20
115.57,17,6,160,43,20
119.922,18,6,160,43,20
148.654,19,6,160,43,20
155.005,20,6,160,43,20
229.153,21,6,160,43,20
130.924,22,6,160,43,20
147.219,23,6,160,43,20
194.304,24,6,160,43,20
164.251,25,6,160,43,20
162.845,26,6,160,43,20
189.13,27,6,160,43,20
162.945,28,6,160,43,20
194.663,29,6,160,43,20
178.318,30,6,160,43,20
279.028,31,6,160,43,20
202.563,32,6,160,43,20
228.322,33,6,160,43,20
305.088,34,6,160,43,20
448.523,35,6,160,43,20
244.147,36,6,160,43,20
273.77,37,6,160,43,20
315.161,38,6,160,43,20
256.002,39,6,160,43,20
301.833,40,6,160,43,20
409.982,41,6,160,43,20
393.604,42,6,160,43,20
406.853,43,6,160,43,20
439.771,44,6,160,43,20
320.094,45,6,160,43,20
354.977,46,6,160,43,20
205.136,47,6,160,43,20
372.118,48,6,160,43,20
376.614,49,6,160,43,20
366.08,50,6,160,43,20
330.396,51,6,160,43,20
436.03,52,6,160,43,20
464.571,53,6,160,43,20
411.699,54,6,160,43,20
310.426,55,6,160,43,20
336.966,56,6,160,43,20
372.824,57,6,160,43,20
385.595,58,6,160,43,20
478.503,59,6,160,43,20
448.79,60,6,160,43,20
