Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.283,1,2.4,40,7,20
715.551,5,2.4,40,7,20
564.255,10,2.4,40,7,20
1218.72,15,2.4,40,7,20
1795.47,20,2.4,40,7,20
2004.36,25,2.4,40,7,20
1872.31,30,2.4,40,7,20
2079.2,35,2.4,40,7,20
2458.07,40,2.4,40,7,20
2393.98,45,2.4,40,7,20
3201.08,50,2.4,40,7,20
4323.67,55,2.4,40,7,20
3443.33,60,2.4,40,7,20
4332.27,65,2.4,40,7,20
3782.68,70,2.4,40,7,20
3729.5,75,2.4,40,7,20
4311.19,80,2.4,40,7,20
5517.24,85,2.4,40,7,20
4535.58,90,2.4,40,7,20
5492.75,95,2.4,40,7,20
3993.33,100,2.4,40,7,20
5245.79,105,2.4,40,7,20
4919.8,110,2.4,40,7,20
6499.95,115,2.4,40,7,20
5262.22,120,2.4,40,7,20
6111.46,125,2.4,40,7,20
5688.16,130,2.4,40,7,20
7485.39,135,2.4,40,7,20
8562.77,140,2.4,40,7,20
9970.56,145,2.4,40,7,20
10677.2,150,2.4,40,7,20
