Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.3014,1,2.4,40,47,20
179.645,5,2.4,40,47,20
223.559,10,2.4,40,47,20
245.955,15,2.4,40,47,20
367.886,20,2.4,40,47,20
471.311,25,2.4,40,47,20
661.316,30,2.4,40,47,20
851.392,35,2.4,40,47,20
802.001,40,2.4,40,47,20
1249.66,45,2.4,40,47,20
754.668,50,2.4,40,47,20
885.441,55,2.4,40,47,20
1028.3,60,2.4,40,47,20
46.0265,1,5.0,160,47,20
130.121,5,5.0,160,47,20
118.976,10,5.0,160,47,20
100.875,15,5.0,160,47,20
127.994,20,5.0,160,47,20
211.463,25,5.0,160,47,20
262.284,30,5.0,160,47,20
469.447,35,5.0,160,47,20
227.618,40,5.0,160,47,20
426.793,45,5.0,160,47,20
397.389,50,5.0,160,47,20
