Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0.0,0,2.4,40,41,20
88.2943,1,2.4,40,41,20
169.585,5,2.4,40,41,20
211.911,10,2.4,40,41,20
277.792,15,2.4,40,41,20
375.285,20,2.4,40,41,20
414.124,25,2.4,40,41,20
612.814,30,2.4,40,41,20
828.719,35,2.4,40,41,20
756.285,40,2.4,40,41,20
998.202,45,2.4,40,41,20
740.979,50,2.4,40,41,20
841.183,55,2.4,40,41,20
1174.24,60,2.4,40,41,20
0.0,0,5.0,160,41,20
89.821,1,5.0,160,41,20
127.16,5,5.0,160,41,20
185.494,10,5.0,160,41,20
107.797,15,5.0,160,41,20
173.549,20,5.0,160,41,20
206.065,25,5.0,160,41,20
277.995,30,5.0,160,41,20
355.393,35,5.0,160,41,20
347.377,40,5.0,160,41,20
426.9,45,5.0,160,41,20
371.421,50,5.0,160,41,20
476.835,55,5.0,160,41,20
524.062,60,5.0,160,41,20
0.0,0,6.0,160,41,20
89.6154,1,6.0,160,41,20
115.085,5,6.0,160,41,20
122.075,10,6.0,160,41,20
96.613,15,6.0,160,41,20
167.293,20,6.0,160,41,20
139.338,25,6.0,160,41,20
211.454,30,6.0,160,41,20
356.827,35,6.0,160,41,20
259.034,40,6.0,160,41,20
329.099,45,6.0,160,41,20
347.239,50,6.0,160,41,20
366.57,55,6.0,160,41,20
425.133,60,6.0,160,41,20
