Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0.0,0,2.4,40,42,20
88.3527,1,2.4,40,42,20
220.801,5,2.4,40,42,20
258.618,10,2.4,40,42,20
315.274,15,2.4,40,42,20
393.67,20,2.4,40,42,20
411.724,25,2.4,40,42,20
548.34,30,2.4,40,42,20
741.149,35,2.4,40,42,20
823.827,40,2.4,40,42,20
1312.8,45,2.4,40,42,20
733.978,50,2.4,40,42,20
724.226,55,2.4,40,42,20
861.824,60,2.4,40,42,20
0.0,0,5.0,160,42,20
89.6699,1,5.0,160,42,20
57.766,5,5.0,160,42,20
129.015,10,5.0,160,42,20
122.688,15,5.0,160,42,20
161.62,20,5.0,160,42,20
187.828,25,5.0,160,42,20
290.193,30,5.0,160,42,20
387.885,35,5.0,160,42,20
337.876,40,5.0,160,42,20
575.874,45,5.0,160,42,20
330.36,50,5.0,160,42,20
351.857,55,5.0,160,42,20
569.458,60,5.0,160,42,20
0.0,0,6.0,160,42,20
89.5894,1,6.0,160,42,20
98.245,5,6.0,160,42,20
331.932,10,6.0,160,42,20
102.653,15,6.0,160,42,20
131.178,20,6.0,160,42,20
149.825,25,6.0,160,42,20
244.221,30,6.0,160,42,20
290.3,35,6.0,160,42,20
245.836,40,6.0,160,42,20
405.656,45,6.0,160,42,20
269.332,50,6.0,160,42,20
278.064,55,6.0,160,42,20
455.406,60,6.0,160,42,20
