Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.3867,1,2.4,40,49,20
164.509,5,2.4,40,49,20
242.274,10,2.4,40,49,20
345.292,15,2.4,40,49,20
347.251,20,2.4,40,49,20
548.253,25,2.4,40,49,20
531.613,30,2.4,40,49,20
883.506,35,2.4,40,49,20
845.643,40,2.4,40,49,20
1247.73,45,2.4,40,49,20
836.058,50,2.4,40,49,20
887.329,55,2.4,40,49,20
1752.3,60,2.4,40,49,20
274.954,1,5.0,160,49,20
133.255,5,5.0,160,49,20
162.379,10,5.0,160,49,20
107.298,15,5.0,160,49,20
160.336,20,5.0,160,49,20
234.906,25,5.0,160,49,20
243.995,30,5.0,160,49,20
538.07,35,5.0,160,49,20
362.62,40,5.0,160,49,20
513.595,45,5.0,160,49,20
399.692,50,5.0,160,49,20
