Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.3527,1,2.4,40,45,20
238.516,5,2.4,40,45,20
284.93,10,2.4,40,45,20
340.344,15,2.4,40,45,20
457.665,20,2.4,40,45,20
583.748,25,2.4,40,45,20
610.54,30,2.4,40,45,20
758.903,35,2.4,40,45,20
698.308,40,2.4,40,45,20
1206.87,45,2.4,40,45,20
826.155,50,2.4,40,45,20
738.35,55,2.4,40,45,20
1013.11,60,2.4,40,45,20
89.8355,1,5.0,160,45,20
82.7579,5,5.0,160,45,20
229.048,10,5.0,160,45,20
87.4566,15,5.0,160,45,20
156.978,20,5.0,160,45,20
239.768,25,5.0,160,45,20
246.547,30,5.0,160,45,20
400.773,35,5.0,160,45,20
279.208,40,5.0,160,45,20
393.355,45,5.0,160,45,20
379.999,50,5.0,160,45,20
