Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0.0,0,2.4,40,43,20
167.227,1,2.4,40,43,20
188.425,5,2.4,40,43,20
212.03,10,2.4,40,43,20
273.879,15,2.4,40,43,20
440.057,20,2.4,40,43,20
452.258,25,2.4,40,43,20
570.318,30,2.4,40,43,20
832.384,35,2.4,40,43,20
747.787,40,2.4,40,43,20
1005.23,45,2.4,40,43,20
846.16,50,2.4,40,43,20
859.731,55,2.4,40,43,20
1192.67,60,2.4,40,43,20
0.0,0,5.0,160,43,20
282.771,1,5.0,160,43,20
108.903,5,5.0,160,43,20
130.603,10,5.0,160,43,20
103.573,15,5.0,160,43,20
172.391,20,5.0,160,43,20
206.223,25,5.0,160,43,20
226.933,30,5.0,160,43,20
574.415,35,5.0,160,43,20
366.088,40,5.0,160,43,20
452.922,45,5.0,160,43,20
401.638,50,5.0,160,43,20
382.816,55,5.0,160,43,20
543.728,60,5.0,160,43,20
0.0,0,6.0,160,43,20
282.596,1,6.0,160,43,20
106.988,5,6.0,160,43,20
96.3674,10,6.0,160,43,20
99.7126,15,6.0,160,43,20
155.005,20,6.0,160,43,20
164.251,25,6.0,160,43,20
178.318,30,6.0,160,43,20
448.523,35,6.0,160,43,20
301.833,40,6.0,160,43,20
320.094,45,6.0,160,43,20
366.08,50,6.0,160,43,20
310.426,55,6.0,160,43,20
448.79,60,6.0,160,43,20
