MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.40421,3,20,800,30,6
1,OfdmRate12Mbps,15.1639,3,20,800,30,6
2,OfdmRate18Mbps,22.667,3,20,800,30,6
3,OfdmRate24Mbps,30.5922,3,20,800,30,6
4,OfdmRate36Mbps,45.8806,3,20,800,30,6
5,OfdmRate48Mbps,61.1676,3,20,800,30,6
6,OfdmRate54Mbps,68.8221,3,20,800,30,6
7,OfdmRate54Mbps,76.4551,3,20,800,30,6
8,OfdmRate54Mbps,91.3667,3,20,800,30,6
9,OfdmRate54Mbps,100.996,3,20,800,30,6
10,OfdmRate54Mbps,112.888,3,20,800,30,6
11,OfdmRate54Mbps,124.371,3,20,800,30,6
12,OfdmRate54Mbps,133.755,3,20,800,30,6
13,OfdmRate54Mbps,147.686,3,20,800,30,6
0,OfdmRate6Mbps,14.8828,3,40,800,30,6
1,OfdmRate12Mbps,30.3119,3,40,800,30,6
2,OfdmRate18Mbps,45.4603,3,40,800,30,6
3,OfdmRate24Mbps,61.1676,3,40,800,30,6
4,OfdmRate36Mbps,91.3667,3,40,800,30,6
5,OfdmRate48Mbps,119.753,3,40,800,30,6
6,OfdmRate54Mbps,133.755,3,40,800,30,6
7,OfdmRate54Mbps,147.686,3,40,800,30,6
8,OfdmRate54Mbps,174.584,3,40,800,30,6
9,OfdmRate54Mbps,191.563,3,40,800,30,6
10,OfdmRate54Mbps,213.471,3,40,800,30,6
11,OfdmRate54Mbps,233.119,3,40,800,30,6
12,OfdmRate54Mbps,249.521,3,40,800,30,6
13,OfdmRate54Mbps,274.649,3,40,800,30,6
0,OfdmRate6Mbps,31.0817,3,80,800,30,6
1,OfdmRate12Mbps,63.2917,3,80,800,30,6
2,OfdmRate18Mbps,94.5783,3,80,800,30,6
3,OfdmRate24Mbps,125.248,3,80,800,30,6
4,OfdmRate36Mbps,181.742,3,80,800,30,6
5,OfdmRate48Mbps,234.665,3,80,800,30,6
6,OfdmRate54Mbps,260.527,3,80,800,30,6
