MCS,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
11,0.0183815,30,20,5
11,0.0183815,35,20,5
11,0.0183815,40,20,5
11,0.0183815,45,20,5
11,0,50,20,5
11,0,55,20,5
11,0,60,20,5
11,0,65,20,5
11,0,70,20,5
11,0,75,20,5
11,0,80,20,5
11,0,85,20,5
11,0,90,20,5
11,0,95,20,5
11,0,100,20,5
12,724.546,0,20,5
12,0.0183815,5,20,5
12,0.0183815,10,20,5
12,0.0183815,15,20,5
12,0.0183815,20,20,5
12,0.0183815,25,20,5
12,0.0183815,30,20,5
12,0.0183815,35,20,5
12,0.0183815,40,20,5
12,0.0183815,45,20,5
12,0,50,20,5
12,0,55,20,5
12,0,60,20,5
12,0,65,20,5
12,0,70,20,5
12,0,75,20,5
12,0,80,20,5
12,0,85,20,5
12,0,90,20,5
12,0,95,20,5
12,0,100,20,5
13,772.752,0,20,5
13,0.0183815,5,20,5
13,0.0183815,10,20,5
13,0.0183815,15,20,5
13,0.0183815,20,20,5
13,0.0183815,25,20,5
13,0.0183815,30,20,5
13,0.0183815,35,20,5
13,0.0183815,40,20,5
13,0.0183815,45,20,5
13,0,50,20,5
13,0,55,20,5
13,0,60,20,5
13,0,65,20,5
13,0,70,20,5
13,0,75,20,5
13,0,80,20,5
13,0,85,20,5
13,0,90,20,5
13,0,95,20,5
13,0,100,20,5
