MCS,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,62.5557,0,20,9
0,62.5557,5,20,9
0,62.5557,10,20,9
0,62.5548,15,20,9
0,62.5542,20,20,9
0,62.5542,25,20,9
0,62.5542,30,20,9
0,62.5542,35,20,9
0,62.5527,40,20,9
0,62.5527,45,20,9
0,0,50,20,9
0,0,55,20,9
0,0,60,20,9
0,0,65,20,9
0,0,70,20,9
0,0,75,20,9
0,0,80,20,9
0,0,85,20,9
0,0,90,20,9
0,0,95,20,9
0,0,100,20,9
1,123.623,0,20,9
1,123.622,5,20,9
1,123.619,10,20,9
1,123.615,15,20,9
1,123.614,20,20,9
1,123.611,25,20,9
1,123.611,30,20,9
1,123.609,35,20,9
1,123.608,40,20,9
1,122.63,45,20,9
1,0,50,20,9
1,0,55,20,9
1,0,60,20,9
1,0,65,20,9
1,0,70,20,9
1,0,75,20,9
1,0,80,20,9
1,0,85,20,9
1,0,90,20,9
1,0,95,20,9
1,0,100,20,9
2,179.723,0,20,9
2,179.723,5,20,9
2,179.721,10,20,9
2,179.72,15,20,9
2,179.719,20,20,9
2,179.717,25,20,9
2,179.717,30,20,9
2,179.697,35,20,9
2,163.978,40,20,9
2,0.0161647,45,20,9
2,0,50,20,9
2,0,55,20,9
2,0,60,20,9
2,0,65,20,9
2,0,70,20,9
2,0,75,20,9
2,0,80,20,9
2,0,85,20,9
2,0,90,20,9
2,0,95,20,9
2,0,100,20,9
3,234.766,0,20,9
3,234.765,5,20,9
3,234.757,10,20,9
3,234.755,15,20,9
3,234.749,20,20,9
3,234.749,25,20,9
3,227.387,30,20,9
3,0.0161647,35,20,9
3,0.0161647,40,20,9
3,0.0161647,45,20,9
3,0,50,20,9
3,0,55,20,9
3,0,60,20,9
3,0,65,20,9
3,0,70,20,9
3,0,75,20,9
3,0,80,20,9
3,0,85,20,9
3,0,90,20,9
3,0,95,20,9
3,0,100,20,9
4,333.644,0,20,9
4,333.637,5,20,9
4,333.632,10,20,9
4,333.624,15,20,9
4,333.618,20,20,9
4,262.38,25,20,9
4,0.0161647,30,20,9
4,0.0161647,35,20,9
4,0.0161647,40,20,9
4,0.0161647,45,20,9
4,0,50,20,9
4,0,55,20,9
4,0,60,20,9
4,0,65,20,9
4,0,70,20,9
4,0,75,20,9
4,0,80,20,9
4,0,85,20,9
4,0,90,20,9
4,0,95,20,9
4,0,100,20,9
5,422.641,0,20,9
5,422.631,5,20,9
5,422.626,10,20,9
5,422.601,15,20,9
5,0.0161647,20,20,9
5,0.0161647,25,20,9
5,0.0161647,30,20,9
5,0.0161647,35,20,9
5,0.0161647,40,20,9
5,0.0161647,45,20,9
5,0,50,20,9
5,0,55,20,9
5,0,60,20,9
5,0,65,20,9
5,0,70,20,9
5,0,75,20,9
5,0,80,20,9
5,0,85,20,9
5,0,90,20,9
5,0,95,20,9
5,0,100,20,9
6,468.065,0,20,9
6,468.05,5,20,9
6,468.032,10,20,9
6,457.229,15,20,9
6,0.0161647,20,20,9
6,0.0161647,25,20,9
6,0.0161647,30,20,9
6,0.0161647,35,20,9
6,0.0161647,40,20,9
6,0.0161647,45,20,9
6,0,50,20,9
6,0,55,20,9
6,0,60,20,9
6,0,65,20,9
6,0,70,20,9
6,0,75,20,9
6,0,80,20,9
6,0,85,20,9
6,0,90,20,9
6,0,95,20,9
6,0,100,20,9
7,509.082,0,20,9
7,509.068,5,20,9
7,509.055,10,20,9
7,413.832,15,20,9
7,0.0161647,20,20,9
7,0.0161647,25,20,9
7,0.0161647,30,20,9
7,0.0161647,35,20,9
7,0.0161647,40,20,9
7,0.0161647,45,20,9
7,0,50,20,9
7,0,55,20,9
7,0,60,20,9
7,0,65,20,9
7,0,70,20,9
7,0,75,20,9
7,0,80,20,9
7,0,85,20,9
7,0,90,20,9
7,0,95,20,9
7,0,100,20,9
8,576.441,0,20,9
8,576.417,5,20,9
8,563.627,10,20,9
8,0.0161647,15,20,9
8,0.0161647,20,20,9
8,0.0161647,25,20,9
8,0.0161647,30,20,9
8,0.0161647,35,20,9
8,0.0161647,40,20,9
8,0.0161647,45,20,9
8,0,50,20,9
8,0,55,20,9
8,0,60,20,9
8,0,65,20,9
8,0,70,20,9
8,0,75,20,9
8,0,80,20,9
8,0,85,20,9
8,0,90,20,9
8,0,95,20,9
8,0,100,20,9
9,628.397,0,20,9
9,628.371,5,20,9
9,360.776,10,20,9
9,0.0161647,15,20,9
9,0.0161647,20,20,9
9,0.0161647,25,20,9
9,0.0161647,30,20,9
9,0.0161647,35,20,9
9,0.0161647,40,20,9
9,0.0161647,45,20,9
9,0,50,20,9
9,0,55,20,9
9,0,60,20,9
9,0,65,20,9
9,0,70,20,9
9,0,75,20,9
9,0,80,20,9
9,0,85,20,9
9,0,90,20,9
9,0,95,20,9
9,0,100,20,9
10,677.23,0,20,9
10,663.177,5,20,9
10,0.0161647,10,20,9
10,0.0161647,15,20,9
10,0.0161647,20,20,9
10,0.0161647,25,20,9
10,0.0161647,30,20,9
10,0.0161647,35,20,9
10,0.0161647,40,20,9
10,0.0161647,45,20,9
10,0,50,20,9
10,0,55,20,9
10,0,60,20,9
10,0,65,20,9
10,0,70,20,9
10,0,75,20,9
10,0,80,20,9
10,0,85,20,9
10,0,90,20,9
10,0,95,20,9
10,0,100,20,9
11,734.263,0,20,9
11,0.0161647,5,20,9
11,0.0161647,10,20,9
11,0.0161647,15,20,9
11,0.0161647,20,20,9
11,0.0161647,25,20,9
11,0.0161647,30,20,9
11,0.0161647,35,20,9
11,0.0161647,40,20,9
11,0.0161647,45,20,9
11,0,50,20,9
11,0,55,20,9
11,0,60,20,9
11,0,65,20,9
11,0,70,20,9
11,0,75,20,9
11,0,80,20,9
11,0,85,20,9
11,0,90,20,9
11,0,95,20,9
11,0,100,20,9
