Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.6951,1,2.4,40,49,20
133.643,5,2.4,40,49,20
259.79,10,2.4,40,49,20
292.17,15,2.4,40,49,20
402.732,20,2.4,40,49,20
471.752,25,2.4,40,49,20
465.675,30,2.4,40,49,20
767.871,35,2.4,40,49,20
845.245,40,2.4,40,49,20
1064.32,45,2.4,40,49,20
804.188,50,2.4,40,49,20
726.397,55,2.4,40,49,20
1507.5,60,2.4,40,49,20
267.849,1,5.0,160,49,20
130.001,5,5.0,160,49,20
113.002,10,5.0,160,49,20
99.3514,15,5.0,160,49,20
144.006,20,5.0,160,49,20
169.774,25,5.0,160,49,20
214.988,30,5.0,160,49,20
395.434,35,5.0,160,49,20
293.245,40,5.0,160,49,20
