Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
164.369,1,2.4,40,2,20
705.215,5,2.4,40,2,20
563.158,10,2.4,40,2,20
1225.03,15,2.4,40,2,20
1490.13,20,2.4,40,2,20
1855.81,25,2.4,40,2,20
1803.7,30,2.4,40,2,20
2145.88,35,2.4,40,2,20
2521.85,40,2.4,40,2,20
2250.76,45,2.4,40,2,20
3158.53,50,2.4,40,2,20
3841.78,55,2.4,40,2,20
3808.67,60,2.4,40,2,20
3942.92,65,2.4,40,2,20
3542.85,70,2.4,40,2,20
3234.63,75,2.4,40,2,20
4142.57,80,2.4,40,2,20
5065.39,85,2.4,40,2,20
4567.13,90,2.4,40,2,20
5358.05,95,2.4,40,2,20
4368.58,100,2.4,40,2,20
5240.48,105,2.4,40,2,20
4945.13,110,2.4,40,2,20
6412.98,115,2.4,40,2,20
5011.52,120,2.4,40,2,20
6218.05,125,2.4,40,2,20
5793.12,130,2.4,40,2,20
6499.52,135,2.4,40,2,20
7935.54,140,2.4,40,2,20
9014.74,145,2.4,40,2,20
9036.99,150,2.4,40,2,20
8907.29,155,2.4,40,2,20
385.653,1,5,160,2,20
859.606,5,5,160,2,20
692.636,10,5,160,2,20
1244.51,15,5,160,2,20
1728.49,20,5,160,2,20
1896.05,25,5,160,2,20
1464.08,30,5,160,2,20
2216.04,35,5,160,2,20
2197.7,40,5,160,2,20
2352.42,45,5,160,2,20
2395.36,50,5,160,2,20
3704.62,55,5,160,2,20
3229.62,60,5,160,2,20
3841.06,65,5,160,2,20
3169.69,70,5,160,2,20
3238.85,75,5,160,2,20
3897.14,80,5,160,2,20
4469.31,85,5,160,2,20
3535.22,90,5,160,2,20
4567.77,95,5,160,2,20
3724.16,100,5,160,2,20
5316.46,105,5,160,2,20
4581.69,110,5,160,2,20
5398.75,115,5,160,2,20
5465.29,120,5,160,2,20
308.657,1,6,160,2,20
792.325,5,6,160,2,20
432.791,10,6,160,2,20
912.772,15,6,160,2,20
1511.58,20,6,160,2,20
1758.31,25,6,160,2,20
1397.13,30,6,160,2,20
2284.01,35,6,160,2,20
1548.35,40,6,160,2,20
1890.44,45,6,160,2,20
2199.52,50,6,160,2,20
2846.23,55,6,160,2,20
2288.87,60,6,160,2,20
3358.23,65,6,160,2,20
2638.3,70,6,160,2,20
2736.78,75,6,160,2,20
2941.47,80,6,160,2,20
3155.09,85,6,160,2,20
3109.01,90,6,160,2,20
4691.73,95,6,160,2,20
3852.21,100,6,160,2,20
3872.57,105,6,160,2,20
4334.04,110,6,160,2,20
4308.28,115,6,160,2,20
4625.04,120,6,160,2,20
