Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.6142,1,2.4,40,48,20
189.07,5,2.4,40,48,20
197.841,10,2.4,40,48,20
340.935,15,2.4,40,48,20
357.304,20,2.4,40,48,20
602.783,25,2.4,40,48,20
542.1,30,2.4,40,48,20
773.384,35,2.4,40,48,20
929.685,40,2.4,40,48,20
1087.28,45,2.4,40,48,20
814.958,50,2.4,40,48,20
813.299,55,2.4,40,48,20
1443.77,60,2.4,40,48,20
44.7523,1,5.0,160,48,20
96.718,5,5.0,160,48,20
106.451,10,5.0,160,48,20
97.2623,15,5.0,160,48,20
121.892,20,5.0,160,48,20
195.618,25,5.0,160,48,20
181.88,30,5.0,160,48,20
280.102,35,5.0,160,48,20
402.639,40,5.0,160,48,20
