Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
164.392,1,2.4,40,4,20
706.392,5,2.4,40,4,20
552.829,10,2.4,40,4,20
1182.55,15,2.4,40,4,20
1538.88,20,2.4,40,4,20
1849.07,25,2.4,40,4,20
1733.05,30,2.4,40,4,20
2013.24,35,2.4,40,4,20
2384.39,40,2.4,40,4,20
2378,45,2.4,40,4,20
3336.93,50,2.4,40,4,20
3492.49,55,2.4,40,4,20
3528.23,60,2.4,40,4,20
3745.19,65,2.4,40,4,20
3518.25,70,2.4,40,4,20
3412.57,75,2.4,40,4,20
4134.42,80,2.4,40,4,20
5768.33,85,2.4,40,4,20
4271.05,90,2.4,40,4,20
5085.52,95,2.4,40,4,20
4172.55,100,2.4,40,4,20
5204.41,105,2.4,40,4,20
4974.5,110,2.4,40,4,20
6347.09,115,2.4,40,4,20
4925.59,120,2.4,40,4,20
6297.37,125,2.4,40,4,20
5224.2,130,2.4,40,4,20
6948.61,135,2.4,40,4,20
8064.29,140,2.4,40,4,20
9754.34,145,2.4,40,4,20
9821.61,150,2.4,40,4,20
8478.97,155,2.4,40,4,20
274.03,1,5,160,4,20
571.475,5,5,160,4,20
677.375,10,5,160,4,20
1186.42,15,5,160,4,20
1524.67,20,5,160,4,20
1479.8,25,5,160,4,20
1726.7,30,5,160,4,20
2340.69,35,5,160,4,20
1935.95,40,5,160,4,20
2370.19,45,5,160,4,20
2563.66,50,5,160,4,20
2626.54,55,5,160,4,20
2592.02,60,5,160,4,20
2982.45,65,5,160,4,20
3025.22,70,5,160,4,20
3263.22,75,5,160,4,20
3700.37,80,5,160,4,20
4728.09,85,5,160,4,20
4261.81,90,5,160,4,20
4829.89,95,5,160,4,20
4226.83,100,5,160,4,20
5498.01,105,5,160,4,20
4467.09,110,5,160,4,20
6160.58,115,5,160,4,20
5291.78,120,5,160,4,20
6581.54,125,5,160,4,20
7064.97,130,5,160,4,20
6036.27,135,5,160,4,20
7431.38,140,5,160,4,20
6954.23,145,5,160,4,20
5957.43,150,5,160,4,20
6087.72,155,5,160,4,20
274.03,1,6,160,4,20
453.477,5,6,160,4,20
428.698,10,6,160,4,20
1136.19,15,6,160,4,20
1296.13,20,6,160,4,20
1336.88,25,6,160,4,20
1341.29,30,6,160,4,20
2149.22,35,6,160,4,20
2113.24,40,6,160,4,20
2432.71,45,6,160,4,20
2401.57,50,6,160,4,20
3006.59,55,6,160,4,20
2049.9,60,6,160,4,20
3940.15,65,6,160,4,20
2630.7,70,6,160,4,20
3045.55,75,6,160,4,20
4386.83,80,6,160,4,20
3917.37,85,6,160,4,20
3136.07,90,6,160,4,20
4503.69,95,6,160,4,20
4013.59,100,6,160,4,20
4271.61,105,6,160,4,20
4444.61,110,6,160,4,20
5616.68,115,6,160,4,20
4984.35,120,6,160,4,20
4512.26,125,6,160,4,20
6160.41,130,6,160,4,20
5555.98,135,6,160,4,20
6759.75,140,6,160,4,20
5526.31,145,6,160,4,20
7047.47,150,6,160,4,20
5755.32,155,6,160,4,20
