Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
209.615,200,3,2.4,40,20,7
226.86,400,3,2.4,40,20,7
227.099,600,3,2.4,40,20,7
226.121,800,3,2.4,40,20,7
225.78,1000,3,2.4,40,20,7
226.753,1200,3,2.4,40,20,7
226.892,1400,3,2.4,40,20,7
226.267,1600,3,2.4,40,20,7
226.317,1800,3,2.4,40,20,7
226.479,2000,3,2.4,40,20,7
226.322,2200,3,2.4,40,20,7
226.382,2400,3,2.4,40,20,7
226.149,2600,3,2.4,40,20,7
226.884,2800,3,2.4,40,20,7
226.27,3000,3,2.4,40,20,7
226.708,3200,3,2.4,40,20,7
226.039,3400,3,2.4,40,20,7
226.487,3600,3,2.4,40,20,7
226.618,3800,3,2.4,40,20,7
226.648,4000,3,2.4,40,20,7
226.465,4200,3,2.4,40,20,7
226.46,4400,3,2.4,40,20,7
226.326,4600,3,2.4,40,20,7
226.441,4800,3,2.4,40,20,7
226.285,5000,3,2.4,40,20,7
226.478,5200,3,2.4,40,20,7
226.841,5400,3,2.4,40,20,7
226.156,5600,3,2.4,40,20,7
226.287,5800,3,2.4,40,20,7
226.166,6000,3,2.4,40,20,7
226.619,6200,3,2.4,40,20,7
226.922,6400,3,2.4,40,20,7
226.25,6600,3,2.4,40,20,7
226.728,6800,3,2.4,40,20,7
226.124,7000,3,2.4,40,20,7
226.272,7200,3,2.4,40,20,7
226.391,7400,3,2.4,40,20,7
226.214,7600,3,2.4,40,20,7
226.438,7800,3,2.4,40,20,7
226.842,8000,3,2.4,40,20,7
226.438,8200,3,2.4,40,20,7
226.106,8400,3,2.4,40,20,7
225.979,8600,3,2.4,40,20,7
226.516,8800,3,2.4,40,20,7
226.471,9000,3,2.4,40,20,7
226.373,9200,3,2.4,40,20,7
226.487,9400,3,2.4,40,20,7
226.316,9600,3,2.4,40,20,7
226.82,9800,3,2.4,40,20,7
227.122,10000,3,2.4,40,20,7
